geo_point_2d,geo_shape,gml_id,objectid,accident,unite_pv,date,heure,jsem,code_insee,inter,adresse,pr,nomv,numvro,pr_2,nomv_2,numvro_2,vehicule1,vehicule2,vehicule3,vehicule4,vehicule5,vehicule6,usager1,usager2,usager3,usager4,usager5,usager6,usager7,usager8,ntu,nbh,nbnh,wms_time,id
"48.090486071380745,-1.615643538678949","{""coordinates"": [-1.615643538678949, 48.090486071380745], ""type"": ""Point""}",accident.1851,1851,1290,Sécurité publique 0035238 00221,2016-06-06,07:55,Lundi,35055,Giratoire,BOURGOGNE/HALLOUVRY,,Rond-point,0,,Rue d'Hallouvry,0.0,VL,Bicyclette,,,,,Conducteur,Conducteur,,,,,,,0,0,1,2016-01-01,199
"48.0938169369261,-1.6745847424138691","{""coordinates"": [-1.674584742413869, 48.0938169369261], ""type"": ""Point""}",accident.1853,1853,2988,Sécurité publique 0035238 00338,2017-08-01,07:40,Mardi,35238,En X,"00, CLEMENCEAU (BD GEORG",,,0,,,0.0,VL,Bicyclette,,,,,Conducteur,,,,,,,,0,1,0,2017-01-01,200
"48.13312750451041,-1.6709402786749563","{""coordinates"": [-1.670940278674956, 48.13312750451041], ""type"": ""Point""}",accident.1857,1857,2205,Sécurité publique 0035238 00152,2016-04-18,08:20,Lundi,35238,En T,LOCMARIAQUER/ARRADON,,Rue de Locmariaquer,0,,Rue d'Arradon,0.0,VL,Bicyclette,,,,,Conducteur,Conducteur,,,,,,,0,0,1,2016-01-01,201
"48.15023999303474,-1.7304400042709078","{""coordinates"": [-1.730440004270908, 48.15023999303474], ""type"": ""Point""}",accident.1859,1859,1456,Gendarmerie Nationale 0010048 03125,2014-09-30,07:00,Mardi,35210,hors intersection,,0003+0527,,0,,,0.0,"VU seul 1,5T < PTAC <=3,5T",Bicyclette,,,,,Conducteur,Conducteur,,,,,,,0,1,0,2014-01-01,202
"48.136500201554846,-1.624879906461044","{""coordinates"": [-1.624879906461044, 48.136500201554846], ""type"": ""Point""}",accident.1864,1864,1155,Sécurité publique 0035238 00142,2016-04-11,16:50,Lundi,35051,Giratoire,ALLIÉS/RPVAUX,,Route départementale 386,0,,Rond-point de Vaux,0.0,VL,Bicyclette,,,,,Conducteur,Conducteur,,,,,,,0,0,1,2016-01-01,203
"48.09130621904447,-1.6508940822189806","{""coordinates"": [-1.650894082218981, 48.09130621904447], ""type"": ""Point""}",accident.1875,1875,1884,Sécurité publique 0035238 00233,2016-06-10,16:35,Vendredi,35238,Giratoire,L.GRIMAULT/POLOGNE,,Boulevard Léon Grimault,0,,Rond-point,0.0,VL,Bicyclette,,,,,Conducteur,Conducteur,,,,,,,0,0,1,2016-01-01,204
"48.083243100140265,-1.6506509868420576","{""coordinates"": [-1.650650986842058, 48.083243100140265], ""type"": ""Point""}",accident.1880,1880,2569,Sécurité publique 0035238 00125,2012-03-12,09:00,Lundi,35238,hors intersection,49 AVENUE DE LA VISTULE,,AVENUE DE LA VISTULE,0,,,0.0,VL,Bicyclette,,,,,Conducteur,Conducteur,,,,,,,0,0,1,2012-01-01,205
"48.08122001143576,-1.7272099621045285","{""coordinates"": [-1.727209962104528, 48.08122001143576], ""type"": ""Point""}",accident.1881,1881,1801,Sécurité publique 0035238 00175,2012-04-10,04:10,Mardi,35281,En Y,"00, PATIS-DES-COUASNES (",,PATIS-DES-COUASNES (RUE DU),0,,BUHOTIERE (RUE DE LA),0.0,VL,Bicyclette,,,,,Conducteur,Conducteur,,,,,,,0,0,1,2012-01-01,206
"48.111698252185526,-1.656050626980239","{""coordinates"": [-1.656050626980239, 48.111698252185526], ""type"": ""Point""}",accident.1889,1889,3500,Sécurité publique 0035238 00183,2018-04-30,13:45,Lundi,35238,En T,STRASBOURG (BOULEVARD DE,,,0,,,0.0,VL,Bicyclette,,,,,Conducteur,Conducteur,,,,,,,0,0,1,2018-01-01,207
"48.10138687361627,-1.6539094172137414","{""coordinates"": [-1.653909417213741, 48.10138687361627], ""type"": ""Point""}",accident.1890,1890,889,Sécurité publique 0035238 00133,2013-03-26,18:50,Mardi,35238,En T,CHATEAUGIRON/PERRAULT,,Rue de Châteaugiron,0,,Allée René Perrault,0.0,VL,Bicyclette,,,,,Conducteur,Conducteur,,,,,,,0,0,1,2013-01-01,208
"48.06346000334786,-1.6185300187658385","{""coordinates"": [-1.618530018765838, 48.06346000334786], ""type"": ""Point""}",accident.1891,1891,1841,Gendarmerie Nationale 0010930 03131,2012-06-14,11:00,Jeudi,35352,Giratoire,,,,0,,,0.0,VL,Bicyclette,,,,,Conducteur,Conducteur,,,,,,,0,1,0,2012-01-01,209
"48.11938875374449,-1.6608356677208487","{""coordinates"": [-1.660835667720849, 48.11938875374449], ""type"": ""Point""}",accident.1894,1894,2951,Sécurité publique 0035238 00282,2017-06-20,19:46,Mardi,35238,En T,"86, METZ (BD DE)",,,0,,,0.0,VL,Bicyclette,,,,,Conducteur,Conducteur,,,,,,,0,0,1,2017-01-01,210
"48.10544276444137,-1.6505570579122706","{""coordinates"": [-1.650557057912271, 48.10544276444137], ""type"": ""Point""}",accident.1905,1905,285,Sécurité publique 0035238 00191,2015-05-07,09:05,Jeudi,35238,hors intersection,"56, BD VILLEBOIS MAREUIL",,Boulevard Villebois-Mareuil,,,,,VL,Bicyclette,,,,,Conducteur,Conducteur,,,,,,,0,0,1,2015-01-01,211
"48.134659913365816,-1.6278512506513805","{""coordinates"": [-1.62785125065138, 48.134659913365816], ""type"": ""Point""}",accident.1916,1916,3854,Sécurité publique 0035238 00230,2018-05-31,14:05,Jeudi,35051,En T,FOUGERES (ROUTE DE),,,0,,,0.0,VL,Bicyclette,,,,,Conducteur,Conducteur,,,,,,,0,0,1,2018-01-01,212
"48.115069606859464,-1.657417291292403","{""coordinates"": [-1.657417291292403, 48.115069606859464], ""type"": ""Point""}",accident.1946,1946,282,Sécurité publique 0035238 00098,2015-02-27,12:15,Vendredi,35238,hors intersection,"8, BD DE METZ",,Boulevard de Metz,,,,,VL,Bicyclette,,,,,Conducteur,Conducteur,,,,,,,0,0,1,2015-01-01,213
"48.12106100436635,-1.6868168867620796","{""coordinates"": [-1.68681688676208, 48.12106100436635], ""type"": ""Point""}",accident.1950,1950,2031,Sécurité publique 0035238 00454,2016-10-21,17:11,Vendredi,35238,hors intersection,"97, VERDUN (BD DE)",,Boulevard de Verdun,0,,,0.0,VL,Bicyclette,,,,,Conducteur,Conducteur,,,,,,,1,0,0,2016-01-01,214
"48.107949203549886,-1.673601783418447","{""coordinates"": [-1.673601783418447, 48.107949203549886], ""type"": ""Point""}",accident.2496,2496,1880,Sécurité publique 0035238 00227,2016-06-07,23:15,Mardi,35238,En X,ST HÉLIER/JANVIER,,Rue Saint-Hélier,0,,Avenue Jean Janvier,0.0,Bicyclette,VL,,,,,Conducteur,Conducteur,,,,,,,0,0,1,2016-01-01,215
"48.12111000236568,-1.8324099974316146","{""coordinates"": [-1.832409997431615, 48.12111000236568], ""type"": ""Point""}",accident.2561,2561,1395,Gendarmerie Nationale 0010048 02264,2016-09-14,07:00,Mercredi,35131,hors intersection,,0020+0866,,0,,,0.0,PL + remorque(s),Bicyclette,,,,,Conducteur,Conducteur,,,,,,,0,1,0,2016-01-01,216
"48.112030538895915,-1.7023526218593894","{""coordinates"": [-1.702352621859389, 48.112030538895915], ""type"": ""Point""}",accident.2568,2568,3042,Sécurité publique 0035238 00409,2017-10-10,10:42,Mardi,35238,En X,"00, SAINT-BRIEUC (DE)",,,0,,,0.0,Bicyclette,VL,,,,,Conducteur,Conducteur,Passager,,,,,,0,0,1,2017-01-01,217
"48.11347340823527,-1.713623759790085","{""coordinates"": [-1.713623759790085, 48.11347340823527], ""type"": ""Point""}",accident.2587,2587,627,Sécurité publique 0035238 00196,2014-04-14,07:45,Lundi,35238,En T,C.GÉNIAUX/LE LANNOU,,Rue Charles Géniaux,0,,Rue Maurice Le Lannou,0.0,VL,Bicyclette,,,,,Conducteur,Conducteur,,,,,,,0,0,1,2014-01-01,218
"48.101574905691166,-1.676349808495071","{""coordinates"": [-1.676349808495071, 48.101574905691166], ""type"": ""Point""}",accident.2595,2595,3110,Sécurité publique 0035238 00497,2017-11-26,18:46,Dimanche,35238,hors intersection,"46, ALMA (DE L')",,,0,,,0.0,VL,Bicyclette,,,,,Conducteur,Conducteur,,,,,,,0,0,1,2017-01-01,219
"48.08973096793263,-1.7218395830265552","{""coordinates"": [-1.721839583026555, 48.08973096793263], ""type"": ""Point""}",accident.2794,2794,1701,Sécurité publique 0035238 00423,2016-09-06,17:50,Mardi,35281,En X,CR 100/BORON,,Chemin rural 100,0,,Chemin Robert de Boron,0.0,Bicyclette,VL,,,,,Conducteur,Conducteur,,,,,,,0,0,1,2016-01-01,220
"48.13029999690241,-1.640329999848481","{""coordinates"": [-1.640329999848481, 48.13029999690241], ""type"": ""Point""}",accident.2935,2935,2284,Sécurité publique 0035238 00149,2012-03-25,18:00,Dimanche,35238,hors intersection,288 RUE DE FOUGÈRES,,RUE DE FOUGERES,0,,,0.0,VL,Bicyclette,,,,,Conducteur,Conducteur,,,,,,,0,1,0,2012-01-01,221
"48.09002787360025,-1.6822482939681225","{""coordinates"": [-1.682248293968122, 48.09002787360025], ""type"": ""Point""}",accident.2965,2965,126,Sécurité publique 0035238 00182,2015-04-29,07:45,Mercredi,35238,Giratoire,F.F.ONU/ALBERT 1ER,,Rue Louis et René Moine,0,,Rond-point des Forces Françaises de l'ON,0.0,VL,Bicyclette,,,,,Conducteur,Conducteur,,,,,,,0,0,1,2015-01-01,222
"48.09728280057796,-1.6577892144099449","{""coordinates"": [-1.657789214409945, 48.09728280057796], ""type"": ""Point""}",accident.2969,2969,3085,Sécurité publique 0035238 00456,2017-11-09,16:40,Jeudi,35238,à plus de 4 branches,"00, MONTAIGNE",,,0,,,0.0,VL,Bicyclette,,,,,Conducteur,Conducteur,,,,,,,0,0,1,2017-01-01,223
"48.13100000555318,-1.621150057362701","{""coordinates"": [-1.621150057362701, 48.13100000555318], ""type"": ""Point""}",accident.2976,2976,1269,Sécurité publique 0035238 00548,2014-11-14,18:10,Vendredi,35051,hors intersection,ALLIES (BOULEVARD DES),0000+0650,ALLIES (BOULEVARD DES),0,,,0.0,VL,Bicyclette,,,,,Conducteur,Conducteur,,,,,,,0,0,1,2014-01-01,224
"48.09038873628309,-1.6691095853719513","{""coordinates"": [-1.669109585371951, 48.09038873628309], ""type"": ""Point""}",accident.3055,3055,2600,Sécurité publique 0035238 00023,2012-01-18,13:25,Mercredi,35238,Giratoire,R.CHEVRIER/G.HERVÉ,,Rue Alfred Lavanant,0,,Boulevard Gaëtan Hervé,0.0,"VU seul 1,5T < PTAC <=3,5T",Bicyclette,,,,,Conducteur,Conducteur,,,,,,,0,0,1,2012-01-01,225
"48.102085096934225,-1.6986475804349797","{""coordinates"": [-1.69864758043498, 48.102085096934225], ""type"": ""Point""}",accident.3078,3078,556,Sécurité publique 0035238 00220,2014-04-30,15:30,Mercredi,35238,En X,R.H.GUERRAND/CLEUNAY,,Rue Roger-Henri Guerrand,0,,Boulevard de Cleunay,0.0,VL,Bicyclette,,,,,Conducteur,Conducteur,,,,,,,0,1,0,2014-01-01,226
"48.1041496040121,-1.6501128731934909","{""coordinates"": [-1.650112873193491, 48.1041496040121], ""type"": ""Point""}",accident.3131,3131,2143,Sécurité publique 0035238 00035,2016-01-25,12:00,Lundi,35238,Giratoire,V.MAREUIL/MOUÉZY,,Avenue Monseigneur Mouézy,80,,Boulevard Villebois-Mareuil,80.0,VL,Bicyclette,,,,,Conducteur,Conducteur,,,,,,,0,0,1,2016-01-01,227
"48.09832675051315,-1.6437862929154996","{""coordinates"": [-1.6437862929155, 48.09832675051315], ""type"": ""Point""}",accident.3312,3312,2890,Sécurité publique 0035238 00182,2017-04-19,12:50,Mercredi,35238,En T,"00, CHATEAUGIRON (DE)",,,0,,,0.0,Bicyclette,VL,,,,,Conducteur,,,,,,,,0,0,1,2017-01-01,228
"48.11018122705284,-1.678543191529971","{""coordinates"": [-1.678543191529971, 48.11018122705284], ""type"": ""Point""}",accident.3317,3317,3390,Sécurité publique 0035238 00032,2018-01-03,15:32,Mercredi,35238,hors intersection,"15, LAMARTINE (QUAI)",,,0,,,0.0,Bicyclette,VL,,,,,Conducteur,,,,,,,,0,0,1,2018-01-01,229
"48.11960066664001,-1.658041252985401","{""coordinates"": [-1.658041252985401, 48.11960066664001], ""type"": ""Point""}",accident.3502,3502,2930,Sécurité publique 0035238 00251,2017-06-01,12:13,Jeudi,35238,hors intersection,"26, ROUSSIN (ZACHARIE)",,,0,,,0.0,Bicyclette,,,,,,Conducteur,,,,,,,,0,0,1,2017-01-01,230
"48.11530000162229,-1.63673999885066","{""coordinates"": [-1.63673999885066, 48.11530000162229], ""type"": ""Point""}",accident.3612,3612,2492,Sécurité publique 0035238 00163,2012-04-02,12:30,Lundi,35238,hors intersection,ALLÉE H.POINCARÉ,,UNIVERSITE RENNES 1 V001P,0,,,0.0,VL,Bicyclette,,,,,Conducteur,Conducteur,,,,,,,0,0,1,2012-01-01,231
"48.12225849230615,-1.6617857548448187","{""coordinates"": [-1.661785754844819, 48.12225849230615], ""type"": ""Point""}",accident.3671,3671,63458168,SP/35238/458,2019-11-15,20:05,Vendredi,35238,En X,FOUGERES (RUE DE),N/C,FOUGERES (RUE DE),,0+0,FOUGERES (RUE DE),,Bicyclette,Véhicule de tourisme (VT),,,,,Conducteur,Conducteur,,,,,,,0,0,1,2019-01-01,232
"48.148470999049096,-1.7628330000017707","{""coordinates"": [-1.762833000001771, 48.148470999049096], ""type"": ""Point""}",accident.3687,3687,63422271,GN/10048/2249,2019-05-06,12:40,Lundi,35210,Giratoire,Boulevard P Dumaine de la Josserie,N/C,Boulevard P Dumaine de la Josserie,,N/C,Boulevard P Dumaine de la Josserie,,Véhicule de tourisme (VT),Bicyclette,,,,,Conducteur,Conducteur,Passager,,,,,,0,0,1,2019-01-01,233
"48.084416002544714,-1.6384801593791838","{""coordinates"": [-1.638480159379184, 48.084416002544714], ""type"": ""Point""}",accident.3807,3807,409,Sécurité publique 0035238 00205,2014-04-17,19:15,Jeudi,35238,hors intersection,LES BASSES OURMES,,Chemin Les Basses Ourmes,0,,,0.0,VL,Bicyclette,,,,,Conducteur,Conducteur,,,,,,,0,0,1,2014-01-01,234
"48.11544947311129,-1.708207984979573","{""coordinates"": [-1.708207984979573, 48.11544947311129], ""type"": ""Point""}",accident.3832,3832,2790,Sécurité publique 0035238 00062,2017-01-30,09:14,Lundi,35238,hors intersection,"00, SAINT-BRIEUC (DE)",,,0,,,0.0,VL,Bicyclette,,,,,Conducteur,Conducteur,,,,,,,0,0,1,2017-01-01,235
"48.10149946256989,-1.694428599361942","{""coordinates"": [-1.694428599361942, 48.10149946256989], ""type"": ""Point""}",accident.3926,3926,1906,Sécurité publique 0035238 00260,2016-06-20,17:15,Lundi,35238,hors intersection,RUE C.BERNARD,,Rue Claude Bernard,0,,,0.0,VL,Bicyclette,,,,,Conducteur,Conducteur,,,,,,,0,0,1,2016-01-01,236
"48.09944999904583,-1.675719999995434","{""coordinates"": [-1.675719999995434, 48.09944999904583], ""type"": ""Point""}",accident.3933,3933,63440973,SP/35238/78,2019-02-26,17:49,Mardi,35238,En T,GINGUENE,0+0,GINGUENE,,0+0,GINGUENE,,Véhicule de tourisme (VT),Bicyclette,,,,,Conducteur,Conducteur,,,,,,,0,0,1,2019-01-01,237
"48.11773999904812,-1.71406000000588","{""coordinates"": [-1.71406000000588, 48.11773999904812], ""type"": ""Point""}",accident.3941,3941,63462868,SP/35238/290,2019-08-02,09:39,Vendredi,35238,Giratoire,SAINT-BRIEUC (DE),0+0,SAINT-BRIEUC (DE),,63+0,SAINT-BRIEUC (DE),,Véhicule de tourisme (VT),Bicyclette,,,,,Conducteur,Conducteur,,,,,,,0,0,1,2019-01-01,238
"48.1156334271657,-1.6494222997030896","{""coordinates"": [-1.64942229970309, 48.1156334271657], ""type"": ""Point""}",accident.4364,4364,3570,Sécurité publique 0035238 00262,2018-07-02,12:45,Lundi,35238,hors intersection,JUGAN (JEANNE),,,0,,,0.0,VL,Bicyclette,,,,,Conducteur,Passager,Conducteur,,,,,,0,0,1,2018-01-01,239
"48.10727799904507,-1.71938500000354","{""coordinates"": [-1.71938500000354, 48.10727799904507], ""type"": ""Point""}",accident.4368,4368,63456834,SP/35238/289,2019-07-31,05:40,Mercredi,35238,Autre,LORIENT (DE),1+250,LORIENT (DE),,,,,Bicyclette,"PL > 3,5T + remorque",,,,,Conducteur,,,,,,,,0,0,1,2019-01-01,240
"48.09915210509275,-1.6797306559382172","{""coordinates"": [-1.679730655938217, 48.09915210509275], ""type"": ""Point""}",accident.4396,4396,522,Sécurité publique 0035238 00262,2014-05-27,12:35,Mardi,35238,hors intersection,"69, RUE GINGUENÉ",,Rue Ginguené,0,,,0.0,VL,Bicyclette,,,,,Conducteur,Conducteur,,,,,,,0,0,1,2014-01-01,241
"48.09706132084252,-1.6718918163708412","{""coordinates"": [-1.671891816370841, 48.09706132084252], ""type"": ""Point""}",accident.4506,4506,3501,Sécurité publique 0035238 00313,2018-08-11,15:55,Samedi,35238,hors intersection,CHATILLON (DE),,,0,,,0.0,VL,Bicyclette,,,,,Conducteur,Conducteur,,,,,,,0,0,1,2018-01-01,242
"48.11630845228803,-1.6683818988323902","{""coordinates"": [-1.66838189883239, 48.11630845228803], ""type"": ""Point""}",accident.4699,4699,1948,Sécurité publique 0035238 00322,2016-07-26,08:30,Mardi,35238,En T,SÉVIGNÉ/G.SAND,,Boulevard de Sévigné,0,,Rue George Sand,0.0,VL,Bicyclette,,,,,Conducteur,Conducteur,,,,,,,0,0,1,2016-01-01,243
"48.101729999050754,-1.7072499999938953","{""coordinates"": [-1.707249999993895, 48.101729999050754], ""type"": ""Point""}",accident.4833,4833,95103,SP/35238/305,2021-09-01,08:00,Mercredi,35238,Giratoire,DE LESSEPS (FERDINAND),N/C,CHAMPION DE CICE,,N/C,DE LESSEPS (FERDINAND),,Véhicule de tourisme (VT),Bicyclette,,,,,Conducteur,Conducteur,,,,,,,0,0,1,2021-01-01,244
"48.11252999904459,-1.6919699999958768","{""coordinates"": [-1.691969999995877, 48.11252999904459], ""type"": ""Point""}",accident.4848,4848,101729,SP/35238/356,2021-10-04,08:45,Lundi,35238,En X,BREST (DE),N/C,VERON (CONSTANT),,N/C,BREST (DE),,Véhicule de tourisme (VT),Bicyclette,,,,,Conducteur,Conducteur,,,,,,,0,0,1,2021-01-01,245
"48.09753999904745,-1.65712999999343","{""coordinates"": [-1.65712999999343, 48.09753999904745], ""type"": ""Point""}",accident.4930,4930,417090,SP/35238/381,2022-10-20,17:30,Jeudi,35238,En T,ROOSEVELT (BD FRANKLIN),N/C,Rue Tristan Corbière,,N/C,Boulevard Franklin Roosevelt,,Bicyclette,Bicyclette,,,,,Conducteur,Conducteur,,,,,,,0,0,2,2022-01-01,246
"48.08951379213347,-1.6826529800827867","{""coordinates"": [-1.682652980082787, 48.08951379213347], ""type"": ""Point""}",accident.5001,5001,439850,SP/35238/219,2022-06-17,09:15,Vendredi,35238,Giratoire,FORCES FRANCAISES DE L'ONU (ROND POINT),N/C,ALBERT 1ER (BD),,N/C,FORCES FRANCAISES DE L'ONU (ROND POINT),,Véhicule de tourisme (VT),Bicyclette,,,,,Conducteur,Conducteur,,,,,,,0,0,1,2022-01-01,247
"48.13399999904664,-1.6943900000057928","{""coordinates"": [-1.694390000005793, 48.13399999904664], ""type"": ""Point""}",accident.5002,5002,440002,SP/35238/307,2022-08-26,08:10,Vendredi,35238,Giratoire,ROBIQUETTE (ROND POINT DE LA),N/C,CHESNAIS BEAUREGARD (RUE DU),,N/C,ROBIQUETTE (ROND POINT DE LA),,Véhicule de tourisme (VT),Bicyclette,,,,,Conducteur,Conducteur,,,,,,,0,0,1,2022-01-01,248
"48.12746999904454,-1.6514299999967443","{""coordinates"": [-1.651429999996744, 48.12746999904454], ""type"": ""Point""}",accident.5003,5003,440041,SP/35238/21,2022-01-20,12:15,Jeudi,35238,Giratoire,GAYEULLES (ROND POINT),N/C,GAYEULLES (ROND POINT),,,,,Véhicule de tourisme (VT),Bicyclette,,,,,Conducteur,Conducteur,,,,,,,0,0,1,2022-01-01,249
"48.084829999044416,-1.6825000000038879","{""coordinates"": [-1.682500000003888, 48.084829999044416], ""type"": ""Point""}",accident.5016,5016,444333,SP/35238/74,2022-03-04,15:00,Vendredi,35238,Giratoire,Avenue du Canada,N/C,Loriettes (Rue des),,N/C,CANADA (AVENUE DU),,Véhicule de tourisme (VT),Bicyclette,,,,,Conducteur,Conducteur,,,,,,,0,0,1,2022-01-01,250
"48.08679999904785,-1.6820599999938168","{""coordinates"": [-1.682059999993817, 48.08679999904785], ""type"": ""Point""}",accident.5038,5038,450775,SP/35238/268,2022-07-24,19:45,Dimanche,35238,Giratoire,SUEDE (DE),N/C,SUEDE (DE),,,,,Véhicule de tourisme (VT),Bicyclette,,,,,Conducteur,Conducteur,,,,,,,0,0,1,2022-01-01,251
"48.10803599905147,-1.7007359999947391","{""coordinates"": [-1.700735999994739, 48.10803599905147], ""type"": ""Point""}",accident.5043,5043,451473,SP/35238/358,2022-10-06,08:10,Jeudi,35238,En T,,N/C,Rue Marceau,,N/C,LORIENT (DE),,Nouvel engin de déplacement personnel (EDP) à moteur,Bicyclette,,,,,Conducteur,Conducteur,,,,,,,0,0,2,2022-01-01,252
"48.09130123118402,-1.6690501570728704","{""coordinates"": [-1.66905015707287, 48.09130123118402], ""type"": ""Point""}",accident.5062,5062,458922,SP/35238/420,2022-11-16,17:49,Mercredi,35238,Giratoire,LEROUX (BD OSCAR),N/C,LEROUX (BD OSCAR),,,,,"VU seul 1,5T < PTAC <=3,5T",Bicyclette,,,,,Conducteur,Conducteur,,,,,,,0,1,0,2022-01-01,253
"48.091607080836454,-1.6748424965242694","{""coordinates"": [-1.674842496524269, 48.091607080836454], ""type"": ""Point""}",accident.5107,5107,3507,Sécurité publique 0035238 00319,2018-08-16,18:10,Jeudi,35238,hors intersection,FREVILLE (AVENUE HENRI),,,0,,,0.0,VL,Bicyclette,,,,,Conducteur,Conducteur,,,,,,,0,0,1,2018-01-01,254
"48.11020164439011,-1.674192869493638","{""coordinates"": [-1.674192869493638, 48.11020164439011], ""type"": ""Point""}",accident.5258,5258,940,Sécurité publique 0035238 00361,2013-09-02,22:05,Lundi,35238,En X,PASTEUR/DUJARDIN,,Place Pasteur,1,,Quai Dujardin,1.0,Bicyclette,VL,,,,,Conducteur,Conducteur,,,,,,,0,0,1,2013-01-01,255
"48.10540063193308,-1.7084472268468138","{""coordinates"": [-1.708447226846814, 48.10540063193308], ""type"": ""Point""}",accident.5261,5261,429,Sécurité publique 0035238 00401,2014-08-13,10:30,Mercredi,35238,Giratoire,RP E.N.NIÉMEN,,Allée Louis Lucipia,0,,Rond-point Escadrille Normandie-Niemen,0.0,Bicyclette,,,,,,Conducteur,,,,,,,,0,1,0,2014-01-01,256
"48.094728748214294,-1.690230853802676","{""coordinates"": [-1.690230853802676, 48.094728748214294], ""type"": ""Point""}",accident.2499,2499,560,Sécurité publique 0035238 00409,2014-08-25,20:00,Lundi,35238,En X,NANTES/CLÉMENCEAU,,Rue de Nantes,0,,Boulevard Georges Clemenceau,0.0,Scooter <= 50 cm3,Bicyclette,,,,,Conducteur,Conducteur,,,,,,,0,1,0,2014-01-01,257
"48.10447999904369,-1.6686399999994848","{""coordinates"": [-1.668639999999485, 48.10447999904369], ""type"": ""Point""}",accident.4760,4760,75478,SP/35238/145,2021-05-11,18:45,Mardi,35238,En T,SOLFERINO (BD),N/C,TEITGEN (RUE PIERRE HENRI),,N/C,SOLFERINO (BD),,Cyclomoteur <=50 cm3,Bicyclette,,,,,Conducteur,Conducteur,Passager,,,,,,0,0,1,2021-01-01,258
"48.115520003849916,-1.7723199958491305","{""coordinates"": [-1.77231999584913, 48.115520003849916], ""type"": ""Point""}",accident.2861,2861,2685,Gendarmerie Nationale 0027331 03859,2012-09-09,17:00,Dimanche,35353,En T,,0032+0065,,0,,,0.0,motocyclette > 125 cm3,Bicyclette,,,,,Conducteur,Conducteur,,,,,,,0,2,0,2012-01-01,259
"48.12806554928861,-1.6490483911350398","{""coordinates"": [-1.64904839113504, 48.12806554928861], ""type"": ""Point""}",accident.2420,2420,3460,Sécurité publique 0035238 00273,2018-01-31,18:10,Mercredi,35238,En T,RUE DE FOUGÈRES,,,0,,,0.0,Bicyclette,VL,,,,,Conducteur,,,,,,,,0,0,1,2018-01-01,260
"48.11819999904665,-1.654089999995274","{""coordinates"": [-1.654089999995274, 48.11819999904665], ""type"": ""Point""}",accident.1,1,76403,SP/35238/152,2021-05-18,08:45,Mardi,35238,hors intersection,DANTON,N/C,Rue Danton,,,,,Bicyclette,"PL seul 3,5 < PTAC <=7,5t",,,,,Conducteur,Conducteur,Passager,,,,,,0,0,1,2021-01-01,261
"48.09230799904276,-1.6916059999996265","{""coordinates"": [-1.691605999999626, 48.09230799904276], ""type"": ""Point""}",accident.12,12,63462872,SP/35238/294,2019-08-01,19:00,Jeudi,35281,hors intersection,NANTES (DE),12+0,NANTES (DE),,,,,"VU seul 1,5T < PTAC <=3,5T",Bicyclette,,,,,Conducteur,Conducteur,,,,,,,0,0,1,2019-01-01,262
"48.128564297524534,-1.6836820434868707","{""coordinates"": [-1.683682043486871, 48.128564297524534], ""type"": ""Point""}",accident.98,98,975,Sécurité publique 0035238 00485,2013-10-31,12:20,Jeudi,35238,En T,GROS MALHON:O.DE SERRES,,Avenue Gros Malhon,0,,Rue Olivier de Serres,0.0,Bicyclette,VL,VL,,,,Conducteur,Conducteur,Conducteur,,,,,,0,0,1,2013-01-01,263
"48.10326999905117,-1.7112999999979916","{""coordinates"": [-1.711299999997992, 48.10326999905117], ""type"": ""Point""}",accident.242,242,116339,SP/35238/512,2021-12-28,12:24,Mardi,35238,hors intersection,Rue Eugène Pottier,N/C,POTTIER (EUGENE),,,,,Véhicule de tourisme (VT),Bicyclette,,,,,Conducteur,Conducteur,,,,,,,0,0,1,2021-01-01,264
"48.09121999904562,-1.7045800000052864","{""coordinates"": [-1.704580000005286, 48.09121999904562], ""type"": ""Point""}",accident.243,243,417058,SP/35238/377,2022-10-20,08:00,Jeudi,35281,hors intersection,MERMOZ (BOULEVARD JEAN),N/C,MERMOZ (BOULEVARD JEAN),,,,,"VU seul 1,5T < PTAC <=3,5T",Bicyclette,,,,,Conducteur,Conducteur,,,,,,,0,0,1,2022-01-01,265
"48.10979999904873,-1.669999999995561","{""coordinates"": [-1.669999999995561, 48.10979999904873], ""type"": ""Point""}",accident.448,448,63418209,SP/35238/418,2019-10-25,00:50,Vendredi,35238,hors intersection,SERGENT MAGINOT (AVENUE),0+0,SERGENT MAGINOT (AVENUE),,,,,Bicyclette,,,,,,Conducteur,,,,,,,,0,0,1,2019-01-01,266
"48.10520790220729,-1.677523255354412","{""coordinates"": [-1.677523255354412, 48.10520790220729], ""type"": ""Point""}",accident.514,514,422980,SP/35238/5,2022-01-07,13:10,Vendredi,35238,hors intersection,Rue d?Isly,N/C,ISLY (RUE D'),,,,,Véhicule de tourisme (VT),Bicyclette,,,,,Conducteur,Conducteur,,,,,,,0,0,1,2022-01-01,267
"48.108107999050404,-1.6897569999997486","{""coordinates"": [-1.689756999999749, 48.108107999050404], ""type"": ""Point""}",accident.517,517,424452,SP/35238/251,2022-07-07,18:15,Jeudi,35238,hors intersection,PREVALAYE (QUAI DE LA),N/C,Quai de la Prévalaye,,,,,Bicyclette,Bicyclette,,,,,Conducteur,Conducteur,,,,,,,0,0,1,2022-01-01,268
