Num_Acc,jour,mois,an,hrmn,lum,dep,com,agg,int,atm,col,adr,lat,long,catr,voie,v1,v2,circ,nbv,vosp,prof,pr,pr1,plan,lartpc,larrout,surf,infra,situ,vma,id_usager,id_vehicule_x,num_veh_x,place,catu,grav,sexe,an_nais,trajet,secu1,secu2,secu3,locp,actp,etatp,id_vehicule_y,num_veh_y,senc,catv,obs,obsm,choc,manv,motor,occutc
202200036257,18,1,2022,16:05,2,83,83137,2,1,1,1,LOTI (AVE PIERRE),"43,1138490000","5,9470320000",4,LOTI (AVE PIERRE),0,,2,2,1,1,0,0,1,, -1,1,0,1,30,1 013 485,749 328,A01,1,1,3,1,1942.0,5,2,8,-1,-1, -1,-1,749 328,A01,3,1,0,2,1,19,5,
202200036257,18,1,2022,16:05,2,83,83137,2,1,1,1,LOTI (AVE PIERRE),"43,1138490000","5,9470320000",4,LOTI (AVE PIERRE),0,,2,2,1,1,0,0,1,, -1,1,0,1,30,1 013 487,749 329,B01,1,1,1,1,1981.0,1,1,-1,-1,-1, -1,-1,749 328,A01,3,1,0,2,1,19,5,
202200036262,18,1,2022,15:55,1,77,77221,1,1,1,3,D217B,"48,8521800000","2,7255600000",3,DEUX CHATEAUX (AVENUE DES ),0,,2,2,0,1,11,468,1,, -1,1,0,1,80,1 013 473,749 321,B01,1,1,4,1,1946.0,5,2,0,-1,-1, -1,-1,749 321,B01,-1,1,0,2,8,2,5,
202200036262,18,1,2022,15:55,1,77,77221,1,1,1,3,D217B,"48,8521800000","2,7255600000",3,DEUX CHATEAUX (AVENUE DES ),0,,2,2,0,1,11,468,1,, -1,1,0,1,80,1 013 475,749 322,A01,1,1,1,1,1995.0,4,1,0,-1,-1, -1,-1,749 321,B01,-1,1,0,2,8,2,5,
202200036279,7,12,2022,09:39,1,92,92040,2,3,1,3,ROUGET DE L'ISLE,"48,8287041381","2,2649415135",3,50,0,,1,0,1,1,0,0,1,, -1,1,0,1,30,1 013 439,749 296,B01,1,1,4,1,1984.0,1,2,8,-1,0,0,-1,749 296,B01,1,1,0,2,1,1,5,
202200036279,7,12,2022,09:39,1,92,92040,2,3,1,3,ROUGET DE L'ISLE,"48,8287041381","2,2649415135",3,50,0,,1,0,1,1,0,0,1,, -1,1,0,1,30,1 013 443,749 297,A01,1,1,1,-1,,-1,-1,-1,-1,-1, -1,-1,749 296,B01,1,1,0,2,1,1,5,
202200036296,17,1,2022,06:45,3,59,59234,1,3,1,3,RD 120 (Z.I DES PRES LORIBES),"50,4032700000","3,0631200000",1,A 21 (Sortie n° 20),0,,1,1,0,3,29,200,2,, -1,2,5,1,50,1 013 397,749 266,B01,1,1,2,1,1967.0,1,8,4,-1,-1, -1,-1,749 266,B01,2,1,0,2,7,1,5,
202200036296,17,1,2022,06:45,3,59,59234,1,3,1,3,RD 120 (Z.I DES PRES LORIBES),"50,4032700000","3,0631200000",1,A 21 (Sortie n° 20),0,,1,1,0,3,29,200,2,, -1,2,5,1,50,1 013 401,749 269,A01,1,1,1,1,1990.0,4,1,8,-1,-1, -1,-1,749 266,B01,2,1,0,2,7,1,5,
202200036386,30,4,2022,11:50,1,33,33009,2,1,1,1,PLAGE (BD DE LA) DU 196 ET +,"44,6628300000"," -1,1759400000",4,PLAGE (BD DE LA) DU 196 ET +,0,,1,1,1,1,(1),(1),1,, -1,1,0,5,50,1 013 172,749 105,A01,1,1,4,1,1964.0,5,0,-1,-1,-1, -1,-1,749 105,A01,1,1,0,2,1,13,5,
202200036386,30,4,2022,11:50,1,33,33009,2,1,1,1,PLAGE (BD DE LA) DU 196 ET +,"44,6628300000"," -1,1759400000",4,PLAGE (BD DE LA) DU 196 ET +,0,,1,1,1,1,(1),(1),1,, -1,1,0,5,50,1 013 172,749 105,A01,1,1,4,1,1964.0,5,0,-1,-1,-1, -1,-1,749 107,B01,2,1,0,2,1,1,5,
