geo_point_2d;geo_shape;gml_id;objectid;accident;unite_pv;date;heure;jsem;code_insee;inter;adresse;pr;nomv;numvro;pr_2;nomv_2;numvro_2;vehicule1;vehicule2;vehicule3;vehicule4;vehicule5;vehicule6;usager1;usager2;usager3;usager4;usager5;usager6;usager7;usager8;ntu;nbh;nbnh;wms_time
48.10377997505854,-1.6746532212963805;"{""coordinates"": [-1.674653221296381, 48.10377997505854], ""type"": ""Point""}";accident.3914;3914;3488;Sécurité publique 0035238 00184;2018-04-17;13:43;Mardi;35238;hors intersection;BEAUMONT (BD DE);;;0;;;0;VL;Bicyclette;;;;;Conducteur;Passager;Conducteur;;;;;;0;0;1;2018-01-01
48.10493999904592,-1.6671000000011835;"{""coordinates"": [-1.667100000001184, 48.10493999904592], ""type"": ""Point""}";accident.4749;4749;70829;SP/35238/115;2021-04-07;08:50;Mercredi;35238;Autre;SOLFERINO (BD);N/C;Bd Solférino;;;;;Bicyclette;;;;;;Conducteur;;;;;;;;0;0;1;2021-01-01
48.07990995921228,-1.6831199574888216;"{""coordinates"": [-1.683119957488822, 48.07990995921228], ""type"": ""Point""}";accident.3937;3937;3374;Sécurité publique 0035238 00057;2018-01-20;16:00;Samedi;35206;hors intersection;RN136;;;0;;;0;VL;VL;;;;;Conducteur;Conducteur;Passager;;;;;;0;0;1;2018-01-01
48.14019999904655,-1.6281799999978912;"{""coordinates"": [-1.628179999997891, 48.14019999904655], ""type"": ""Point""}";accident.3943;3943;63459451;SP/35238/348;2019-09-10;19:00;Mardi;35051;Giratoire;LONGCHAMPS (PORTE DES);23+625;LONGCHAMPS (PORTE DES);;45+965;LONGCHAMPS (PORTE DES);;Véhicule de tourisme (VT);Véhicule de tourisme (VT);;;;;Conducteur;;;;;;;;0;0;1;2019-01-01
48.11377899904947,-1.718784000002065;"{""coordinates"": [-1.718784000002065, 48.11377899904947], ""type"": ""Point""}";accident.3954;3954;63456870;SP/35238/239;2019-06-29;17:30;Samedi;35238;Autre;RN136;14+899;RN136;;;;;Véhicule de tourisme (VT);Véhicule de tourisme (VT);;;;;Conducteur;Conducteur;Passager;;;;;;0;0;1;2019-01-01
48.10191999904315,-1.6842300000007648;"{""coordinates"": [-1.684230000000765, 48.10191999904315], ""type"": ""Point""}";accident.3960;3960;66531779;SP/35238/20;2020-01-20;13:15;Lundi;35238;Autre;NITSCH (CARREFOUR GEORGES);N/C;NITSCH (CARREFOUR GEORGES);;;;;Véhicule de tourisme (VT);Véhicule de tourisme (VT);;;;;Conducteur;Conducteur;;;;;;;0;0;1;2020-01-01
48.10690999904457,-1.6707499999997362;"{""coordinates"": [-1.670749999999736, 48.10690999904457], ""type"": ""Point""}";accident.3961;3961;63476226;SP/35238/254;2019-07-07;18:20;Dimanche;35238;En X;SAINT-HELIER;N/C;SAINT-HELIER;;0+0;SAINT-HELIER;;Véhicule de tourisme (VT);Bicyclette;;;;;Conducteur;Conducteur;;;;;;;0;0;1;2019-01-01
48.127149999044825,-1.6288399999966823;"{""coordinates"": [-1.628839999996682, 48.127149999044825], ""type"": ""Point""}";accident.3997;3997;66515899;SP/35238/303;2020-09-26;17:00;Samedi;35051;En X;BUTTES DE COESMES (AVENUE DES);0+0;BUTTES DE COESMES (AVENUE DES);;0+0;BUTTES DE COESMES (AVENUE DES);;Véhicule de tourisme (VT);Véhicule de tourisme (VT);;;;;Conducteur;Conducteur;;;;;;;0;0;1;2020-01-01
48.0973869370061,-1.6751501027552642;"{""coordinates"": [-1.675150102755264, 48.0973869370061], ""type"": ""Point""}";accident.3999;3999;320;Sécurité publique 0035238 00115;2015-03-10;09:25;Mardi;35238;En X;J.CARTIER/ALMA;;Boulevard Jacques Cartier;104;;Rue de l'Alma;104;VL;VL;;;;;Conducteur;Passager;Conducteur;;;;;;0;0;1;2015-01-01
48.10283247139107,-1.7152196204814072;"{""coordinates"": [-1.715219620481407, 48.10283247139107], ""type"": ""Point""}";accident.4004;4004;63479194;SP/35238/414;2019-10-22;14:45;Mardi;35238;En Y;VALLES (JULES);13+600;VALLES (JULES);;0+0;VALLES (JULES);;Véhicule de tourisme (VT);VU seul 1,5T < PTAC <=3,5T;;;;;Conducteur;Conducteur;;;;;;;0;0;1;2019-01-01
48.10978899856091,-1.6984936256659493;"{""coordinates"": [-1.698493625665949, 48.10978899856091], ""type"": ""Point""}";accident.4012;4012;1914;Sécurité publique 0035238 00275;2016-06-28;08:20;Mardi;35238;En T;L.GUILLOUX/TOURNEMINE;;Rue Louis Guilloux;0;;Rue Tournemine;0;VL;motocyclette >50 et <=125 cm3;;;;;Conducteur;Conducteur;;;;;;;0;0;1;2016-01-01
48.13877494069882,-1.6999198785105614;"{""coordinates"": [-1.699919878510561, 48.13877494069882], ""type"": ""Point""}";accident.4016;4016;2863;Sécurité publique 0035238 00210;2017-05-04;10:16;Jeudi;35238;hors intersection;ROCADE 17-1;;;0;;;0;VL;VU seul 1,5T < PTAC <=3,5T;;;;;Conducteur;Passager;Conducteur;Passager;;;;;0;0;4;2017-01-01
48.124487999044426,-1.7093259999953343;"{""coordinates"": [-1.709325999995334, 48.124487999044426], ""type"": ""Point""}";accident.4035;4035;63453433;SP/35238/338;2019-09-06;14:55;Vendredi;35238;En T;TILLON (AVENUE CHARLES);N/C;TILLON (AVENUE CHARLES);;0+0;TILLON (AVENUE CHARLES);;Véhicule de tourisme (VT);Véhicule de tourisme (VT);;;;;Conducteur;Conducteur;Passager;Passager;;;;;0;0;1;2019-01-01
48.04035199904333,-1.687006000001778;"{""coordinates"": [-1.687006000001778, 48.04035199904333], ""type"": ""Point""}";accident.4043;4043;63428546;GN/8267/365;2019-03-21;19:38;Jeudi;35066;En Y;RD34;38+900;RD34;;18+470;RD34;;Tracteur routier + semi-remorque;Véhicule de tourisme (VT);;;;;Conducteur;Conducteur;Passager;;;;;;2;0;0;2019-01-01
48.09481999904801,-1.690139999995636;"{""coordinates"": [-1.690139999995636, 48.09481999904801], ""type"": ""Point""}";accident.4031;4031;66534032;SP/35238/373;2020-11-12;12:40;Jeudi;35238;En X;NANTES (DE);N/C;NANTES (DE);;N/C;NANTES (DE);;Bicyclette;Véhicule de tourisme (VT);;;;;Conducteur;Conducteur;;;;;;;0;0;1;2020-01-01
48.088900009208956,-1.7029400232071903;"{""coordinates"": [-1.70294002320719, 48.088900009208956], ""type"": ""Point""}";accident.4050;4050;1755;Sécurité publique 0035238 00181;2012-04-13;04:45;Vendredi;35281;hors intersection;00, PORTE DE ST NAZAIRE;0011+0800;PORTE DE ST NAZAIRE;0;;;0;VL;VL;;;;;Conducteur;Conducteur;;;;;;;0;0;1;2012-01-01
48.10448999904912,-1.6843500000049936;"{""coordinates"": [-1.684350000004994, 48.10448999904912], ""type"": ""Point""}";accident.4053;4053;63457925;SP/35238/43;2019-01-15;14:01;Mardi;35238;En T;TOUR D'AUVERGNE (BD DE LA);0+0;TOUR D'AUVERGNE (BD DE LA);;0+0;TOUR D'AUVERGNE (BD DE LA);;Véhicule de tourisme (VT);Autocar;;;;;Conducteur;Conducteur;Passager;Passager;;;;;0;0;4;2019-01-01
48.10239918875415,-1.7151191955181873;"{""coordinates"": [-1.715119195518187, 48.10239918875415], ""type"": ""Point""}";accident.4055;4055;2330;Sécurité publique 0035238 00485;2012-10-07;22:45;Dimanche;35238;à plus de 4 branches;PORTE DE CLEUNAY;;PORTE DE CLEUNAY;0;;RUE JULES VALLES;0;VL;VL;;;;;Conducteur;Conducteur;Passager;;;;;;0;0;3;2012-01-01
48.147989957301846,-1.6139299649654135;"{""coordinates"": [-1.613929964965414, 48.147989957301846], ""type"": ""Point""}";accident.4056;4056;1196;Sécurité publique 0035238 00505;2014-10-18;03:45;Samedi;35051;hors intersection;NORMANDIE (PORTE DE);0025+0000;NORMANDIE (PORTE DE);0;;;0;VL;VL;;;;;Conducteur;Conducteur;Passager;;;;;;0;0;2;2014-01-01
48.13434399904495,-1.6599210000027074;"{""coordinates"": [-1.659921000002707, 48.13434399904495], ""type"": ""Point""}";accident.4068;4068;63439239;SP/35238/325;2019-08-31;17:25;Samedi;35238;En Y;PATTON (AVENUE DU GENERAL SIR GEORGES);N/C;PATTON (AVENUE DU GENERAL SIR GEORGES);;0+0;PATTON (AVENUE DU GENERAL SIR GEORGES);;Véhicule de tourisme (VT);Véhicule de tourisme (VT);;;;;Conducteur;Conducteur;Passager;;;;;;0;0;3;2019-01-01
48.09320000725668,-1.6910600287752695;"{""coordinates"": [-1.69106002877527, 48.09320000725668], ""type"": ""Point""}";accident.4091;4091;1791;Sécurité publique 0035238 00454;2016-09-21;19:55;Mercredi;35281;hors intersection;252, RUE DE NANTES;0012+0225;Rue de Nantes;0;;;0;Scooter <= 50 cm3;VL;;;;;Conducteur;Conducteur;;;;;;;0;0;1;2016-01-01
47.98431003999896,-1.616479985938232;"{""coordinates"": [-1.616479985938232, 47.98431003999896], ""type"": ""Point""}";accident.4077;4077;1119;Gendarmerie Nationale 0010930 03038;2012-06-13;03:00;Mercredi;35032;hors intersection;;0059+0000;;0;;;0;VL;;;;;;Conducteur;Passager;;;;;;;0;2;0;2012-01-01
48.106999996489684,-1.7229100022146684;"{""coordinates"": [-1.722910002214668, 48.106999996489684], ""type"": ""Point""}";accident.4082;4082;2223;Sécurité publique 0035238 00097;2016-03-08;13:30;Mardi;35238;hors intersection;194, RUE DE LORIENT;;Rue de Lorient;0;;;0;VL;VL;VL;VL;;;Conducteur;Conducteur;Passager;Passager;Conducteur;Conducteur;;;0;0;4;2016-01-01
48.10448351171051,-1.6688511678043612;"{""coordinates"": [-1.668851167804361, 48.10448351171051], ""type"": ""Point""}";accident.4086;4086;3125;Sécurité publique 0035238 00511;2017-12-01;16:15;Vendredi;35238;hors intersection;23, SOLFERINO (BD);;;0;;;0;VL;VU seul 1,5T < PTAC <=3,5T;;;;;Conducteur;Conducteur;;;;;;;0;0;1;2017-01-01
48.11615139629033,-1.71812251600226;"{""coordinates"": [-1.71812251600226, 48.11615139629033], ""type"": ""Point""}";accident.4292;4292;2788;Sécurité publique 0035238 00059;2017-01-28;20:20;Samedi;35238;hors intersection;00, VEZIN (ROUTE DE);;;0;;;0;VL;;;;;;Conducteur;Passager;;;;;;;0;0;1;2017-01-01
48.08717088831871,-1.6216813107320038;"{""coordinates"": [-1.621681310732004, 48.08717088831871], ""type"": ""Point""}";accident.4100;4100;1291;Sécurité publique 0035238 00323;2016-07-26;13:07;Mardi;35055;En T;GRANIER/DEUX RUISSEAUX;;Place du Granier;19;;Avenue des Deux Ruisseaux;19;Bicyclette;VL;;;;;Conducteur;Conducteur;;;;;;;0;0;1;2016-01-01
48.08376524202444,-1.6751391148378958;"{""coordinates"": [-1.675139114837896, 48.08376524202444], ""type"": ""Point""}";accident.4116;4116;5;Sécurité publique 0035238 00200;2015-05-14;13:00;Jeudi;35238;En X;FRÉVILLE/UKRAINE;;Avenue Henri Fréville;0;;Rue d'Ukraine;0;VL;VL;;;;;Conducteur;Conducteur;;;;;;;0;0;1;2015-01-01
48.08057519552967,-1.636674788037674;"{""coordinates"": [-1.636674788037674, 48.08057519552967], ""type"": ""Point""}";accident.4122;4122;2807;Sécurité publique 0035238 00010;2017-12-17;15:37;Dimanche;35352;hors intersection;RD 163;;;0;;;0;VU seul 1,5T < PTAC <=3,5T;VL;;;;;Conducteur;Conducteur;Passager;;;;;;0;0;1;2017-01-01
48.09102997321088,-1.70691004016664;"{""coordinates"": [-1.70691004016664, 48.09102997321088], ""type"": ""Point""}";accident.4129;4129;1793;Sécurité publique 0035238 00470;2016-11-04;06:46;Vendredi;35281;Autre;00, PORTE DE ST NAZAIRE;;PORTE DE ST NAZAIRE;0;;;0;motocyclette > 125 cm3;;;;;;Conducteur;;;;;;;;0;0;1;2016-01-01
48.10829344478043,-1.694219877971824;"{""coordinates"": [-1.694219877971824, 48.10829344478043], ""type"": ""Point""}";accident.4135;4135;298;Sécurité publique 0035238 00391;2015-09-23;12:10;Mercredi;35238;hors intersection;95, MAIL MITTERRAND;;Mail François Mitterrand;;;;;VU seul 1,5T < PTAC <=3,5T;VU seul 1,5T < PTAC <=3,5T;;;;;Conducteur;Conducteur;;;;;;;0;0;1;2015-01-01
48.08720003913478,-1.7073300350240899;"{""coordinates"": [-1.70733003502409, 48.08720003913478], ""type"": ""Point""}";accident.4157;4157;1724;Sécurité publique 0035238 00200;2015-08-05;18:40;Mercredi;35281;Giratoire;DODIN (AVENUE ROGER);0024+0000;DODIN (AVENUE ROGER);00;0005+0190;TEMPLE-DE-BLOSNE (RUE DU);00;VL;motocyclette > 125 cm3;;;;;Conducteur;Conducteur;;;;;;;0;0;1;2015-01-01
48.09871379893362,-1.7139855929706316;"{""coordinates"": [-1.713985592970632, 48.09871379893362], ""type"": ""Point""}";accident.4156;4156;3652;Sécurité publique 0035238 00426;2018-10-19;17:30;Vendredi;35238;hors intersection;RN136;;;0;;;0;VU seul 1,5T < PTAC <=3,5T;VL;;;;;Conducteur;Passager;Conducteur;Passager;Passager;Passager;Passager;;0;0;1;2018-01-01
48.09002771047941,-1.6822478743311555;"{""coordinates"": [-1.682247874331156, 48.09002771047941], ""type"": ""Point""}";accident.4160;4160;971;Sécurité publique 0035238 00441;2013-10-11;10:55;Vendredi;35238;Giratoire;RP F.F.ONU;;Rond-point des Forces Françaises de l'ON;16;0000+0000;Rue Louis et René Moine;16;VL;;;;;;Conducteur;;;;;;;;0;0;1;2013-01-01
48.07823999904537,-1.7127699999934625;"{""coordinates"": [-1.712769999993462, 48.07823999904537], ""type"": ""Point""}";accident.4175;4175;63467946;SP/35238/350;2019-09-13;01:13;Vendredi;35281;Giratoire;DODIN (AVENUE ROGER);0+0;DODIN (AVENUE ROGER);;25+85;DODIN (AVENUE ROGER);;Véhicule de tourisme (VT);Véhicule de tourisme (VT);;;;;Conducteur;Conducteur;;;;;;;0;0;1;2019-01-01
48.140799961283534,-1.6899400434634848;"{""coordinates"": [-1.689940043463485, 48.140799961283534], ""type"": ""Point""}";accident.4171;4171;1671;Sécurité publique 0035238 00304;2015-11-02;18:15;Lundi;35278;hors intersection;R.N. 136;0019+0000;R.N. 136;;;;;motocyclette > 125 cm3;;;;;;Conducteur;;;;;;;;0;0;1;2015-01-01
48.10010306138168,-1.672213120365332;"{""coordinates"": [-1.672213120365332, 48.10010306138168], ""type"": ""Point""}";accident.4173;4173;2338;Sécurité publique 0035238 00161;2012-03-31;15:50;Samedi;35238;hors intersection;39 RUE DE CHÂTILLON;;RUE DE CHATILLON;0;;;0;VL;motocyclette > 125 cm3;;;;;Conducteur;Conducteur;;;;;;;0;0;1;2012-01-01
48.13133299905138,-1.673323999998091;"{""coordinates"": [-1.673323999998091, 48.13133299905138], ""type"": ""Point""}";accident.4208;4208;66554119;SP/35238/2;2020-01-02;13:50;Jeudi;35238;En X;ARMORIQUE (BD D');N/C;ARMORIQUE (BD D');;0+0;ARMORIQUE (BD D');;Véhicule de tourisme (VT);Véhicule de tourisme (VT);Véhicule de tourisme (VT);;;;Conducteur;Conducteur;Conducteur;;;;;;0;0;1;2020-01-01
48.12299999904312,-1.7089000000035446;"{""coordinates"": [-1.708900000003545, 48.12299999904312], ""type"": ""Point""}";accident.4225;4225;63477684;SP/35238/60;2019-02-08;13:00;Vendredi;35238;En X;CHURCHILL (AVENUE SIR WINSTON);0+0;CHURCHILL (AVENUE SIR WINSTON);;0+0;CHURCHILL (AVENUE SIR WINSTON);;Véhicule de tourisme (VT);Scooter > 125 cm3;;;;;Conducteur;Conducteur;;;;;;;0;0;1;2019-01-01
48.10945891208265,-1.7075953838059588;"{""coordinates"": [-1.707595383805959, 48.10945891208265], ""type"": ""Point""}";accident.4221;4221;203;Sécurité publique 0035238 00424;2015-10-19;16:10;Lundi;35238;En Y;LORIENT/MARBEUF;;Rue de Lorient;00;;Boulevard Marbeuf;00;Autobus;VL;;;;;Conducteur;Passager;;;;;;;0;0;1;2015-01-01
48.114890003668464,-1.5721799998848887;"{""coordinates"": [-1.572179999884889, 48.114890003668464], ""type"": ""Point""}";accident.4371;4371;3277;Sécurité publique 0035238 00515;2017-12-01;19:30;Vendredi;35051;hors intersection;;;;0;;;0;VL;VL;VL;;;;Conducteur;Conducteur;Passager;Conducteur;;;;;0;0;1;2017-01-01
48.11175999905148,-1.6802699999966113;"{""coordinates"": [-1.680269999996611, 48.11175999905148], ""type"": ""Point""}";accident.4206;4206;63440374;SP/35238/501;2019-12-13;00:50;Vendredi;35238;En X;HORLOGE (DE L');0+0;HORLOGE (DE L');;0+0;HORLOGE (DE L');;Véhicule de tourisme (VT);Bicyclette;;;;;Conducteur;Conducteur;;;;;;;0;1;0;2019-01-01
48.12064542380366,-1.6720371810651289;"{""coordinates"": [-1.672037181065129, 48.12064542380366], ""type"": ""Point""}";accident.4216;4216;3622;Sécurité publique 0035238 00402;2018-10-03;18:15;Mercredi;35238;En T;ANTRAIN (D') DE 43 ET 80;;;0;;;0;VL;Bicyclette;;;;;Conducteur;Conducteur;;;;;;;0;0;1;2018-01-01
48.109765781348685,-1.6891891323769732;"{""coordinates"": [-1.689189132376973, 48.109765781348685], ""type"": ""Point""}";accident.4223;4223;3514;Sécurité publique 0035238 00203;2018-05-10;23:40;Jeudi;35238;En X;MITTERAND (MAIL FRANCOIS;;;0;;;0;Bicyclette;VL;;;;;Conducteur;Conducteur;;;;;;;0;0;1;2018-01-01
48.155220008903335,-1.6729099669433012;"{""coordinates"": [-1.672909966943301, 48.155220008903335], ""type"": ""Point""}";accident.4237;4237;1572;Sécurité publique 0035238 00266;2014-05-28;12:30;Mercredi;35278;hors intersection;ABBE PIERRE (RUE);;ABBE PIERRE (RUE);0;;;0;cyclomoteur;;;;;;Conducteur;Passager;;;;;;;0;1;0;2014-01-01
48.14007998800954,-1.6955800342880933;"{""coordinates"": [-1.695580034288093, 48.14007998800954], ""type"": ""Point""}";accident.4229;4229;1554;Sécurité publique 0035238 00630;2012-12-15;13:00;Samedi;35278;hors intersection;00, PORTE DE ST MALO;0018+0556;;0;;;0;VL;;;;;;Conducteur;Passager;Passager;;;;;;0;0;3;2012-01-01
48.09414227888459,-1.6799920255187528;"{""coordinates"": [-1.679992025518753, 48.09414227888459], ""type"": ""Point""}";accident.4230;4230;824;Sécurité publique 0035238 00240;2013-06-10;18:15;Lundi;35238;En T;G.CLÉMENCEAU/NICOLET;;Boulevard Georges Clemenceau;0;;Rue Général Nicolet;0;motocyclette >50<=125 cm3;;;;;;Conducteur;Passager;;;;;;;0;0;2;2013-01-01
48.0876099990468,-1.6465109999953917;"{""coordinates"": [-1.646510999995392, 48.0876099990468], ""type"": ""Point""}";accident.4233;4233;63455131;SP/35238/140;2019-04-14;20:00;Dimanche;35238;En T;HAUTES-OURMES (BD DES);0+0;HAUTES-OURMES (BD DES);;0+0;HAUTES-OURMES (BD DES);;Véhicule de tourisme (VT);Véhicule de tourisme (VT);;;;;Conducteur;Conducteur;;;;;;;0;0;1;2019-01-01
48.14123133761709,-1.6796659563278502;"{""coordinates"": [-1.67966595632785, 48.14123133761709], ""type"": ""Point""}";accident.4234;4234;3135;Sécurité publique 0035238 00522;2017-12-07;07:30;Jeudi;35278;hors intersection;RN 136;;;0;;;0;VU seul 1,5T < PTAC <=3,5T;VL;PL + remorque(s);;;;Conducteur;Conducteur;Conducteur;;;;;;0;0;1;2017-01-01
48.09728280057796,-1.6577892144099449;"{""coordinates"": [-1.657789214409945, 48.09728280057796], ""type"": ""Point""}";accident.4235;4235;2792;Sécurité publique 0035238 00065;2017-01-30;22:18;Lundi;35238;à plus de 4 branches;00, ROOSEVELT (BD FRANKL;;;0;;;0;VL;VL;;;;;Conducteur;Passager;Conducteur;;;;;;0;0;2;2017-01-01
48.08908799905017,-1.7062319999989954;"{""coordinates"": [-1.706231999998995, 48.08908799905017], ""type"": ""Point""}";accident.4262;4262;63423107;SP/35238/421;2019-10-27;00:05;Dimanche;35281;Autre;DODIN (AVENUE ROGER);23+900;DODIN (AVENUE ROGER);;;;;Véhicule de tourisme (VT);Scooter  > 50 <= 125 cm3;;;;;Conducteur;Conducteur;Passager;Passager;;;;;0;0;1;2019-01-01
48.11070664045054,-1.6864679890870704;"{""coordinates"": [-1.68646798908707, 48.11070664045054], ""type"": ""Point""}";accident.4267;4267;899;Sécurité publique 0035238 00327;2013-08-05;15:28;Lundi;35238;hors intersection;5, QUAI D'ILLE ET RANCE;;Quai d'Ille et Rance;0;;;0;VL;VL;VL;;;;Conducteur;Conducteur;Conducteur;Passager;;;;;0;0;3;2013-01-01
48.14412000087966,-1.6617300485808582;"{""coordinates"": [-1.661730048580858, 48.14412000087966], ""type"": ""Point""}";accident.4269;4269;1604;Sécurité publique 0035238 00025;2016-01-15;22:35;Vendredi;35278;hors intersection;MAISON BLANCHE;;Maison Blanche;0;;;0;VL;VL;;;;;Conducteur;Conducteur;Passager;;;;;;0;0;3;2016-01-01
48.10182209495803,-1.6844009859060958;"{""coordinates"": [-1.684400985906096, 48.10182209495803], ""type"": ""Point""}";accident.4273;4273;954;Sécurité publique 0035238 00217;2013-06-01;21:00;Samedi;35238;En X;COLOMBIER/G.NITSCH;;Carrefour Georges Nitsch;0;;Boulevard Georges Pompidou;0;VL;VL;;;;;Conducteur;Conducteur;Passager;;;;;;0;0;1;2013-01-01
48.126829402417236,-1.7031512500505253;"{""coordinates"": [-1.703151250050525, 48.126829402417236], ""type"": ""Point""}";accident.4275;4275;3046;Sécurité publique 0035238 00417;2017-10-13;17:05;Vendredi;35238;hors intersection;00, BOIS LABBE (AVENUE D;;;0;;;0;VL;VL;;;;;Conducteur;Passager;Passager;Passager;Conducteur;Passager;;;0;0;1;2017-01-01
48.10713344796428,-1.7199006399039545;"{""coordinates"": [-1.719900639903954, 48.10713344796428], ""type"": ""Point""}";accident.4279;4279;862;Sécurité publique 0035238 00252;2013-06-17;12:30;Lundi;35238;hors intersection;133 RUE DE LORIENT;;Rue de Lorient;0;;;0;VL;VL;VL;VL;;;Conducteur;Conducteur;Conducteur;Conducteur;;;;;0;0;2;2013-01-01
48.088899862251374,-1.6761185005857744;"{""coordinates"": [-1.676118500585774, 48.088899862251374], ""type"": ""Point""}";accident.4271;4271;2128;Sécurité publique 0035238 00200;2016-05-30;10:15;Lundi;35238;hors intersection;62, BD ALBERT 1ER;;Boulevard Albert 1er;0;;;0;VL;motocyclette > 125 cm3;;;;;Conducteur;Conducteur;;;;;;;0;0;1;2016-01-01
48.105131608019214,-1.6653073944165822;"{""coordinates"": [-1.665307394416582, 48.105131608019214], ""type"": ""Point""}";accident.4311;4311;179;Sécurité publique 0035238 00523;2015-12-04;09:15;Vendredi;35238;hors intersection;RUE ST HÉLIER (PONT);;Rue Saint-Hélier;;;;;VL;VU seul 1,5T < PTAC <=3,5T;VL;;;;Conducteur;Conducteur;Conducteur;;;;;;0;0;3;2015-01-01
48.10794891820053,-1.6736021531108016;"{""coordinates"": [-1.673602153110802, 48.10794891820053], ""type"": ""Point""}";accident.4298;4298;551;Sécurité publique 0035238 00185;2014-04-09;07:40;Mercredi;35238;En X;JANVIER/LIBERTÉ;;Avenue Jean Janvier;0;;Rue Saint-Thomas;0;Bicyclette;Autocar;;;;;Conducteur;Conducteur;;;;;;;0;0;1;2014-01-01
48.10716473222447,-1.718961156211648;"{""coordinates"": [-1.718961156211648, 48.10716473222447], ""type"": ""Point""}";accident.4312;4312;2187;Sécurité publique 0035238 00147;2016-04-16;11:30;Samedi;35238;à plus de 4 branches;LORIENT/ROCADE OUEST;;Rue de Lorient;0;;Porte de Lorient;0;VL;VL;;;;;Conducteur;Passager;Conducteur;;;;;;0;0;1;2016-01-01
48.042290033686015,-1.6852200180436092;"{""coordinates"": [-1.685220018043609, 48.042290033686015], ""type"": ""Point""}";accident.4321;4321;1380;Gendarmerie Nationale 0028304 00651;2014-09-16;08:00;Mardi;35066;hors intersection;;0039+0000;;0;;;0;VL;motocyclette > 125 cm3;;;;;Conducteur;Conducteur;;;;;;;0;1;1;2014-01-01
48.12347893061932,-1.7184956801114928;"{""coordinates"": [-1.718495680111493, 48.12347893061932], ""type"": ""Point""}";accident.4316;4316;2295;Sécurité publique 0035238 00311;2012-06-25;09:20;Lundi;35238;à plus de 4 branches;PORTE DE VILLEJEAN;0015+0700;PORTE DE VILLEJEAN;0;;ROCADE OUEST;0;VL;VL;VL;;;;Conducteur;Conducteur;Conducteur;;;;;;0;0;2;2012-01-01
48.08372001278383,-1.6244800400951342;"{""coordinates"": [-1.624480040095134, 48.08372001278383], ""type"": ""Point""}";accident.4324;4324;1331;Sécurité publique 0035238 00173;2014-04-03;14:20;Jeudi;35055;hors intersection;LOGETTES (RUE DES);;LOGETTES (RUE DES);0;;;0;VL;VL;VL;;;;Conducteur;Conducteur;Conducteur;;;;;;0;1;0;2014-01-01
48.15974004705955,-1.7058599686596432;"{""coordinates"": [-1.705859968659643, 48.15974004705955], ""type"": ""Point""}";accident.4332;4332;1531;Sécurité publique 0035238 00499;2012-10-15;08:00;Lundi;35278;hors intersection;RN 137;0054+0000;RN 137;0;;;0;VL;VL;VL;;;;Conducteur;Conducteur;Passager;Conducteur;;;;;0;0;1;2012-01-01
48.0676799657586,-1.621310050647393;"{""coordinates"": [-1.621310050647393, 48.0676799657586], ""type"": ""Point""}";accident.4326;4326;1843;Gendarmerie Nationale 0010930 01494;2015-06-27;23:30;Samedi;35352;hors intersection;;0031+0718;;;;;;Bicyclette;VL;;;;;Conducteur;Conducteur;;;;;;;1;0;0;2015-01-01
48.144710040610775,-1.656989986520504;"{""coordinates"": [-1.656989986520504, 48.144710040610775], ""type"": ""Point""}";accident.4342;4342;1656;Sécurité publique 0035238 00024;2015-01-19;18:30;Lundi;35278;Giratoire;00, MAISON BLANCHE (ROND;;MAISON BLANCHE (ROND POINT DE);00;;LIBERATION (AVENUE DE LA);00;VL;VL;;;;;Conducteur;Conducteur;Passager;;;;;;0;0;1;2015-01-01
48.14019999796905,-1.6949599688661863;"{""coordinates"": [-1.694959968866186, 48.14019999796905], ""type"": ""Point""}";accident.4347;4347;3242;Sécurité publique 0035238 00258;2017-06-05;17:43;Lundi;35278;hors intersection;00, PORTE DE ST MALO;;;0;;;0;VU seul 1,5T < PTAC <=3,5T;VL;;;;;Conducteur;Conducteur;;;;;;;0;0;1;2017-01-01
48.12143082577939,-1.682978702056919;"{""coordinates"": [-1.682978702056919, 48.12143082577939], ""type"": ""Point""}";accident.4348;4348;2306;Sécurité publique 0035238 00562;2012-11-15;12:50;Jeudi;35238;En Y;ST MALO/TASSIGNY;;RUE DE SAINT-MALO;0;;BOULEVARD MARECHAL DE LATTRE DE TASSIGNY;0;PL seul PTAC > 7,5T;Bicyclette;;;;;Conducteur;Conducteur;;;;;;;0;0;1;2012-01-01
48.10413324037834,-1.6843457195954488;"{""coordinates"": [-1.684345719595449, 48.10413324037834], ""type"": ""Point""}";accident.4373;4373;2846;Sécurité publique 0035238 00127;2017-03-19;14:38;Dimanche;35238;hors intersection;TOUR D'AUVERGNE (BD DE L;;;0;;;0;VL;Autobus;;;;;Conducteur;Conducteur;;;;;;;0;0;1;2017-01-01
48.09236997865592,-1.6291300020839643;"{""coordinates"": [-1.629130002083964, 48.09236997865592], ""type"": ""Point""}";accident.4380;4380;1321;Sécurité publique 0035238 00512;2016-11-22;09:12;Mardi;35055;hors intersection;00, RD 463;;RD 463;0;;;0;VL;VL;VL;;;;Conducteur;Conducteur;Conducteur;;;;;;0;0;2;2016-01-01
