geo_point_2d;geo_shape;gml_id;objectid;accident;unite_pv;date;heure;jsem;code_insee;inter;adresse;pr;nomv;numvro;pr_2;nomv_2;numvro_2;vehicule1;vehicule2;vehicule3;vehicule4;vehicule5;vehicule6;usager1;usager2;usager3;usager4;usager5;usager6;usager7;usager8;ntu;nbh;nbnh;wms_time
48.09689863713273,-1.6890452185080955;"{""coordinates"": [-1.689045218508096, 48.09689863713273], ""type"": ""Point""}";accident.37;37;2555;Sécurité publique 0035238 00353;2012-07-16;17:45;Lundi;35238;hors intersection;214 RUE DE NANTES;;RUE DE NANTES;0;;;0;VL;Scooter <= 50 cm3;;;;;Conducteur;;;;;;;;0;0;1;2012-01-01
48.108566379342975,-1.692972865052006;"{""coordinates"": [-1.692972865052006, 48.108566379342975], ""type"": ""Point""}";accident.26;26;51;Sécurité publique 0035238 00073;2015-02-16;13:15;Lundi;35238;En X;MITTERRAND/VANEAU;;Mail François Mitterrand;6;;Rue Vaneau;6;VU seul 1,5T < PTAC <=3,5T;VL;;;;;Conducteur;Passager;Conducteur;;;;;;0;0;3;2015-01-01
48.08673595598766,-1.6750058503784244;"{""coordinates"": [-1.675005850378424, 48.08673595598766], ""type"": ""Point""}";accident.28;28;723;Sécurité publique 0035238 00611;2014-12-18;07:30;Jeudi;35238;En X;H.FRÉVILLE/SUÈDE;;Avenue Henri Fréville;9;;Rue de Suède;9;VL;VL;;;;;Conducteur;Passager;Conducteur;;;;;;0;1;0;2014-01-01
48.13191000735356,-1.7088199701691484;"{""coordinates"": [-1.708819970169148, 48.13191000735356], ""type"": ""Point""}";accident.183;183;3269;Sécurité publique 0035238 00385;2017-09-18;17:30;Lundi;35238;hors intersection;PORTE DE VILLEJEAN;;;0;;;0;VL;VL;VL;VL;;;Conducteur;Conducteur;Passager;Conducteur;Conducteur;;;;0;0;1;2017-01-01
48.122796675835495,-1.6886934161334768;"{""coordinates"": [-1.688693416133477, 48.122796675835495], ""type"": ""Point""}";accident.41;41;318;Sécurité publique 0035238 00103;2015-03-03;10:35;Mardi;35238;En X;LEMORDANT/COËTLOGON;;Rue de Coëtlogon;24;;Rue Jean-Julien Lemordant;24;VL;Scooter <= 50 cm3;;;;;Conducteur;Conducteur;;;;;;;0;0;1;2015-01-01
48.09335999904737,-1.6740999999938995;"{""coordinates"": [-1.674099999993899, 48.09335999904737], ""type"": ""Point""}";accident.62;62;66540702;SP/35238/239;2020-08-14;23:35;Vendredi;35238;hors intersection;3 Avenue Henri Fréville;N/C;3 Avenue Henri Fréville;;;;;Véhicule de tourisme (VT);Véhicule de tourisme (VT);Véhicule de tourisme (VT);;;;Conducteur;Conducteur;Conducteur;Passager;Passager;;;;0;0;1;2020-01-01
48.09091999904935,-1.68207999999388;"{""coordinates"": [-1.68207999999388, 48.09091999904935], ""type"": ""Point""}";accident.67;67;63423848;SP/35238/70;2019-02-19;10:30;Mardi;35238;hors intersection;BERNHARDT (SQUARE SARAH);0+0;BERNHARDT (SQUARE SARAH);;;;;Scooter > 125 cm3;Véhicule de tourisme (VT);;;;;Conducteur;Conducteur;;;;;;;0;0;1;2019-01-01
48.10200329786356,-1.6601573249511181;"{""coordinates"": [-1.660157324951118, 48.10200329786356], ""type"": ""Point""}";accident.83;83;748;Sécurité publique 0035238 00524;2013-11-16;21:30;Samedi;35238;En Y;VERN/CHÂTEAUGIRON;;Rue de Vern;4;;Rue de Châteaugiron;4;VL;VL;VL;;;;Conducteur;Conducteur;Conducteur;;;;;;0;0;1;2013-01-01
48.14024999904398,-1.6309500000057673;"{""coordinates"": [-1.630950000005767, 48.14024999904398], ""type"": ""Point""}";accident.90;90;76271;SP/35238/151;2021-05-17;16:45;Lundi;35051;hors intersection;LONGCHAMPS (PORTE DES);23+413;N136;;;;;VU seul 1,5T < PTAC <=3,5T;Véhicule de tourisme (VT);VU seul 1,5T < PTAC <=3,5T;Véhicule de tourisme (VT);;;Conducteur;Conducteur;Conducteur;Conducteur;;;;;0;1;1;2021-01-01
48.08098003486275,-1.7566699725218111;"{""coordinates"": [-1.756669972521811, 48.08098003486275], ""type"": ""Point""}";accident.80;80;1475;Gendarmerie Nationale 0000683 00765;2014-03-16;10:15;Dimanche;35240;hors intersection;PICOURÉE;0001+0000;;0;;;0;motocyclette > 125 cm3;VL;motocyclette > 125 cm3;;;;Conducteur;Conducteur;Conducteur;;;;;;0;2;0;2014-01-01
48.1351699990462,-1.6594899999995034;"{""coordinates"": [-1.659489999999503, 48.1351699990462], ""type"": ""Point""}";accident.93;93;64996;SP/35238/62;2021-02-23;13:50;Mardi;35238;En X;MONTS D'ARREE (AVENUE DES);N/C;;;N/C;;;Véhicule de tourisme (VT);Véhicule de tourisme (VT);VU seul 1,5T < PTAC <=3,5T;;;;Conducteur;Conducteur;Conducteur;;;;;;0;0;1;2021-01-01
48.128033513187845,-1.7477718327659806;"{""coordinates"": [-1.747771832765981, 48.128033513187845], ""type"": ""Point""}";accident.104;104;2813;Gendarmerie Nationale 0010048 02785;2017-04-28;07:45;Vendredi;35353;hors intersection;LA BELLE EPINE;;;0;;;0;VL;VL;VU seul 1,5T < PTAC <=3,5T;;;;Conducteur;Conducteur;Conducteur;;;;;;0;1;0;2017-01-01
48.10511261847917,-1.717018140602553;"{""coordinates"": [-1.717018140602553, 48.10511261847917], ""type"": ""Point""}";accident.114;114;2779;Sécurité publique 0035238 00052;2017-01-24;18:08;Mardi;35238;hors intersection;ROCADE 13-14;;;0;;;0;VL;VL;VL;;;;Conducteur;Conducteur;Conducteur;;;;;;0;0;1;2017-01-01
47.97619002625648,-1.6946899998420555;"{""coordinates"": [-1.694689999842055, 47.97619002625648], ""type"": ""Point""}";accident.123;123;1415;Gendarmerie Nationale 0028304 00303;2015-05-06;14:30;Mercredi;35139;hors intersection;;0031+0580;;;;;;PL seul PTAC > 7,5T;VL;PL seul PTAC > 7,5T;;;;Conducteur;Conducteur;Conducteur;;;;;;0;0;1;2015-01-01
48.1184649975144,-1.7430979013394086;"{""coordinates"": [-1.743097901339409, 48.1184649975144], ""type"": ""Point""}";accident.142;142;471183;GN/10048/3641;2022-09-06;00:45;Mardi;35353;hors intersection;D125;38+500;D125;;;;;Cyclomoteur <=50 cm3;;;;;;Conducteur;Passager;;;;;;;0;1;1;2022-01-01
48.02714001530427,-1.7304799965129318;"{""coordinates"": [-1.730479996512932, 48.02714001530427], ""type"": ""Point""}";accident.134;134;1128;Gendarmerie Nationale 0000678 02242;2016-10-06;19:10;Jeudi;35047;hors intersection;D44 AU NIVEAU DU TERRAIN;0026+0600;;0;;;0;VL;VL;VL;;;;Conducteur;Conducteur;Conducteur;;;;;;0;2;0;2016-01-01
48.114999997068324,-1.71927000421662;"{""coordinates"": [-1.71927000421662, 48.114999997068324], ""type"": ""Point""}";accident.144;144;995;Sécurité publique 0035238 00383;2013-09-11;18:10;Mercredi;35238;hors intersection;ROCADE OUEST PR 14-900;0014+0900;Rocade Ouest;0;;;0;VU seul 1,5T < PTAC <=3,5T;VU seul 1,5T < PTAC <=3,5T;VL;;;;Conducteur;Conducteur;Conducteur;;;;;;0;0;2;2013-01-01
48.09046137840538,-1.6298080547668419;"{""coordinates"": [-1.629808054766842, 48.09046137840538], ""type"": ""Point""}";accident.153;153;77;Sécurité publique 0035238 00514;2015-11-30;17:00;Lundi;35238;à plus de 4 branches;PORTE DES LOGES;;Rocade Sud;0;0000+0000;Porte des Loges;0;PL + remorque(s);VL;VL;;;;Conducteur;Conducteur;Conducteur;;;;;;0;0;1;2015-01-01
48.11782999904475,-1.685549999997857;"{""coordinates"": [-1.685549999997857, 48.11782999904475], ""type"": ""Point""}";accident.510;510;417561;SP/35238/146;2022-05-05;01:50;Jeudi;35238;hors intersection;CHEZY (BD DE);N/C;CHEZY (BD DE);;;;;Véhicule de tourisme (VT);;;;;;Conducteur;;;;;;;;0;0;1;2022-01-01
48.09777999904285,-1.6887399999940063;"{""coordinates"": [-1.688739999994006, 48.09777999904285], ""type"": ""Point""}";accident.139;139;63439485;SP/35238/385;2019-10-01;17:10;Mardi;35238;hors intersection;NANTES (DE);0+0;NANTES (DE);;;;;Véhicule de tourisme (VT);Bicyclette;;;;;Conducteur;Conducteur;;;;;;;0;0;1;2019-01-01
48.097059999043296,-1.6904900000016705;"{""coordinates"": [-1.69049000000167, 48.097059999043296], ""type"": ""Point""}";accident.170;170;63444253;SP/35238/505;2019-12-14;22:30;Samedi;35238;hors intersection;MERMOZ (BOULEVARD JEAN);0+0;MERMOZ (BOULEVARD JEAN);;;;;Scooter <= 50 cm3;;;;;;Conducteur;;;;;;;;0;1;0;2019-01-01
48.094624014598125,-1.6341725125649893;"{""coordinates"": [-1.634172512564989, 48.094624014598125], ""type"": ""Point""}";accident.180;180;2770;Sécurité publique 0035238 00043;2017-01-20;12:14;Vendredi;35238;En T;00, SAUVAIE (DE LA);;;0;;;0;VL;VL;VL;;;;Conducteur;Passager;Passager;Passager;Conducteur;Conducteur;;;0;0;1;2017-01-01
48.10185999904671,-1.6762800000048967;"{""coordinates"": [-1.676280000004897, 48.10185999904671], ""type"": ""Point""}";accident.175;175;66527593;SP/35238/196;2020-07-08;07:50;Mercredi;35238;hors intersection;ALMA (DE L');0+0;ALMA (DE L');;;;;Véhicule de tourisme (VT);Bicyclette;;;;;Conducteur;Conducteur;;;;;;;0;0;1;2020-01-01
48.10752291449648,-1.6740604128733438;"{""coordinates"": [-1.674060412873344, 48.10752291449648], ""type"": ""Point""}";accident.195;195;2483;Sécurité publique 0035238 00078;2012-02-16;14:55;Jeudi;35238;hors intersection;BOULEVARD DE LA LIBERTÉ;;BOULEVARD DE LA LIBERTE;0;;;0;VL;VL;VL;;;;Conducteur;Conducteur;Conducteur;Passager;;;;;0;0;1;2012-01-01
48.10241999904932,-1.6801600000035857;"{""coordinates"": [-1.680160000003586, 48.10241999904932], ""type"": ""Point""}";accident.203;203;63444252;SP/35238/504;2019-12-14;19:50;Samedi;35238;hors intersection;COLOMBIER (BD DU);0+0;COLOMBIER (BD DU);;;;;Véhicule de tourisme (VT);Véhicule de tourisme (VT);;;;;Conducteur;Conducteur;Passager;;;;;;0;0;2;2019-01-01
48.13778142846457,-1.7016005218671373;"{""coordinates"": [-1.701600521867137, 48.13778142846457], ""type"": ""Point""}";accident.209;209;377;Sécurité publique 0035238 00421;2015-10-17;11:10;Samedi;35238;hors intersection;ROCADE NORD-OUEST;0018+0000;Route nationale 136;;;;;VL;VL;VL;VL;;;Conducteur;Passager;Conducteur;Conducteur;Conducteur;;;;0;0;1;2015-01-01
48.020447102744576,-1.6015294147801487;"{""coordinates"": [-1.601529414780149, 48.020447102744576], ""type"": ""Point""}";accident.214;214;3761;Gendarmerie Nationale 0010930 02243;2018-09-16;14:15;Dimanche;35250;hors intersection;D.173;;;0;;;0;VL;VL;VL;;;;Conducteur;Conducteur;Conducteur;Passager;;;;;0;1;1;2018-01-01
48.09171567934428,-1.6918998956716087;"{""coordinates"": [-1.691899895671609, 48.09171567934428], ""type"": ""Point""}";accident.245;245;420087;SP/35238/96;2022-03-27;22:30;Dimanche;35238;hors intersection;NANTES (RUE DE);11+1100;D837;;;;;Véhicule de tourisme (VT);Cyclomoteur <=50 cm3;;;;;Conducteur;Conducteur;Passager;;;;;;0;0;1;2022-01-01
48.082812073878905,-1.6768527030936111;"{""coordinates"": [-1.676852703093611, 48.082812073878905], ""type"": ""Point""}";accident.251;251;424487;SP/35238/257;2022-07-10;16:15;Dimanche;35238;hors intersection;BOSPHORE (DU);N/C;Rue du Bosphore;;;;;Véhicule de tourisme (VT);;;;;;Conducteur;;;;;;;;0;0;1;2022-01-01
48.08803999904973,-1.6941000000003217;"{""coordinates"": [-1.694100000000322, 48.08803999904973], ""type"": ""Point""}";accident.260;260;430978;SP/35238/15;2022-01-13;17:23;Jeudi;35281;hors intersection;NANTES (RUE DE);11+667;D837;;;;;Moto ou sidecar > 125 cm3;Véhicule de tourisme (VT);;;;;Conducteur;Conducteur;;;;;;;0;1;0;2022-01-01
