Num_Acc,an,mois,jour,hrmn,lum,agg,int,atm,col,com,adr,gps,lat,long,dep,catr,voie,v1,v2,circ,nbv,pr,pr1,vosp,prof,plan,lartpc,larrout,surf,infra,situ,env1,place,catu,grav,sexe,trajet,secu,locp,actp,etatp,an_nais,num_veh_x,senc,catv,occutc,obs,obsm,choc,manv,num_veh_y
200800000004,8,1,20,1100,1,1,1,1,2,394,,M,4491400.0,-19900.0,330,3,243.0,0.0,,2,2,2.0,900.0,0,1,3,0,67,1,0,1,0,1,1,3,1,5,21,0,0,0,1931.0,A01,0,1,0,0,0,4,1,A01
200800000463,8,1,27,1215,1,2,2,1,3,294,Place du Monument,M,4969100.0,498900.0,80,3,17.0,0.0,D,2,0,0.0,0.0,0,1,1,0,80,1,0,1,0,1,1,3,1,5,21,0,0,0,1973.0,B02,0,1,0,0,2,1,1,B02
200800000611,8,1,8,1400,1,2,1,1,6,253,rue de saint ladre,M,5016000.0,234000.0,800,4,0.0,0.0,,2,0,0.0,0.0,0,1,1,0,0,1,0,4,0,1,1,3,2,5,0,0,0,0,1944.0,A01,0,1,0,15,0,1,1,A01
200800000733,8,1,24,1900,5,1,1,1,3,117,,M,4860500.0,-287100.0,220,4,0.0,6.0,,0,0,0.0,0.0,0,0,1,0,0,1,0,1,0,1,1,3,1,5,0,0,0,0,1992.0,A01,0,1,0,0,2,6,19,A01
200800000750,8,1,20,1000,1,1,1,1,7,32,,M,4790800.0,-407000.0,290,3,134.0,0.0,,2,0,0.0,0.0,0,2,1,0,0,1,0,1,0,1,1,2,1,5,0,0,0,0,1951.0,A01,0,1,0,0,0,0,1,A01
200800001120,8,1,13,1400,1,2,1,1,7,307,27 route de Montpellier,M,4371700.0,400500.0,340,3,54.0,0.0,,3,0,6.0,400.0,0,1,1,0,60,1,0,1,0,1,1,3,1,5,0,0,0,0,1993.0,A01,0,1,0,0,0,0,1,A01
200800001408,8,1,14,1700,1,2,6,8,3,243,Rond-point de Donégal,M,4762600.0,-273300.0,560,4,1.0,0.0,,1,2,0.0,0.0,0,1,2,0,0,2,0,1,0,1,1,4,1,5,0,0,0,0,1936.0,A01,0,1,0,0,2,8,1,A01
200800001515,8,1,22,800,5,2,2,2,3,310,"0, SEVIGNE (RUE)",,,,30,4,0.0,0.0,,1,2,,,0,1,1,0,68,2,0,1,99,1,1,4,1,5,92,0,0,0,1987.0,A01,0,1,0,0,2,1,1,A01
200800001767,8,1,29,1740,2,2,1,1,3,55,SAUVEUR TOBELEM (RUE),,,,130,4,1.0,0.0,A,0,2,,,0,1,0,0,0,1,0,1,0,1,1,3,1,0,22,0,0,0,1980.0,A01,0,1,0,0,2,1,1,A01
200800001797,8,1,28,745,1,2,1,1,3,108,"385, RD 99 ROUTE DE SAIN",,,,130,3,0.0,0.0,,2,1,,,0,1,1,0,30,1,0,1,0,1,1,4,1,1,43,0,0,0,1950.0,A01,0,1,0,0,2,3,15,A01
200800001855,8,1,26,1600,1,2,1,1,3,300,"147, SAUTEL  BOULEVARD A",,,,170,4,0.0,0.0,,2,4,,,0,1,1,0,0,1,0,1,99,1,1,1,1,9,22,0,0,0,1960.0,A01,0,1,0,0,2,7,19,A01
200800001893,8,1,5,1340,1,2,6,2,3,31,MONTEIL (ROND-POINT ANDR,M,4514819.0,448957.0,190,4,0.0,0.0,,1,2,,,0,1,1,0,0,2,0,1,99,1,1,4,1,9,22,0,0,0,1948.0,B01,0,1,0,0,2,0,0,B01
