Num_Acc,an,mois,jour,hrmn,lum,agg,int,atm,col,com,adr,gps,lat,long,dep,catr,voie,v1,v2,circ,nbv,pr,pr1,vosp,prof,plan,lartpc,larrout,surf,infra,situ,env1,place,catu,grav,sexe,trajet,secu,locp,actp,etatp,an_nais,num_veh_x,senc,catv,occutc,obs,obsm,choc,manv,num_veh_y
200500000342,5,1,12,1545,1,2,1,1,1,579.0,Rue Guerrand,M,4953100.0,-159400.0,500,4.0,0.0,6.0,,1,0,0.0,0.0,0,2,1,0,32,1,0,1,0,1,1,3,1,5,21,0,0,0,1951.0,A01,0,1,0,0,2,0,1,A01
200500000453,5,1,3,1230,1,2,1,1,3,1.0,"53, av. Amiral COURBET",M,4633800.0,-130900.0,850,3.0,46.0,0.0,C,2,0,0.0,250.0,0,0,1,0,60,1,0,1,0,1,1,3,1,3,0,0,0,0,1924.0,A01,0,1,0,0,9,2,15,A01
200500000563,5,1,19,1115,1,2,1,2,6,310.0,RN 113  47300 TONNEINS,M,4440500.0,29900.0,470,2.0,113.0,0.0,,2,0,0.0,0.0,0,0,1,0,0,2,0,1,0,1,1,4,2,3,0,0,0,0,1923.0,B02,0,1,0,0,0,0,15,B02
200500000844,5,1,8,1530,1,1,1,1,6,198.0,,M,4479000.0,468900.0,70,3.0,265.0,0.0,,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,1,4,1,5,21,0,0,0,1953.0,A01,0,1,0,0,5,1,1,A01
200500001035,5,1,19,1815,1,2,1,7,1,288.0,RUE DE DIESEN,M,4918200.0,664800.0,570,3.0,72.0,0.0,C,4,2,24.0,500.0,0,1,2,0,61,1,0,1,0,1,1,4,1,5,0,0,0,0,1950.0,A01,0,1,0,0,2,1,15,A01
200500001129,5,1,4,1945,3,1,1,1,6,485.0,,M,4861900.0,766200.0,670,3.0,41.0,0.0,,0,2,27.0,850.0,0,2,1,0,69,1,0,1,0,1,1,4,1,5,0,0,0,0,1973.0,B02,0,1,0,0,2,4,2,B02
200500001213,5,1,21,1215,1,1,1,1,1,231.0,,M,4850900.0,345500.0,100,2.0,19.0,0.0,,2,2,3.0,50.0,0,1,1,0,71,1,0,1,0,1,1,3,2,3,0,0,0,0,1984.0,A01,0,1,0,3,0,8,2,A01
200500001228,5,1,4,1645,1,2,1,1,1,490.0,Rue Saint Didier,M,4846000.0,517400.0,520,4.0,0.0,0.0,,2,0,0.0,0.0,0,0,1,58,0,1,0,1,0,1,1,3,1,9,0,0,0,0,1988.0,A01,0,1,0,0,2,1,15,A01
200500001307,5,1,20,1900,3,1,1,1,6,440.0,,M,4802800.0,325900.0,890,3.0,107.0,0.0,,2,2,4.0,500.0,0,0,1,0,0,1,0,1,0,1,1,1,1,1,21,0,0,0,1948.0,B02,0,1,0,0,0,8,2,B02
200500002040,5,1,18,2100,5,2,1,2,3,691.0,"147, PARIS DE 1 A 187/21",,,,20,4.0,0.0,0.0,,2,2,,,0,1,1,0,93,2,0,1,99,1,1,3,1,5,43,0,0,0,1989.0,A01,0,1,0,0,2,7,15,A01
200500002212,5,1,11,900,1,2,1,1,2,88.0,"0, COMBOUL (AV. RAYMOND)",,,,60,4.0,0.0,0.0,,2,3,,,0,1,1,0,77,1,0,1,0,1,1,4,1,9,23,0,0,0,1966.0,A01,0,1,0,0,2,1,2,A01
200500002302,5,1,9,1135,1,2,1,1,1,281.0,C.D.533,,,,70,3.0,0.0,0.0,,2,2,54.0,550.0,0,2,4,0,80,2,2,1,99,1,1,3,1,5,21,0,0,0,1979.0,A01,0,1,0,0,2,1,13,A01
200500002315,5,1,11,1305,1,2,3,1,3,387.0,FAUBOURG CRONCELS (RUE D,,,,100,2.0,0.0,0.0,,2,4,51.0,209.0,0,1,1,0,120,1,0,1,3,1,1,4,1,5,43,0,0,0,1976.0,A01,0,1,0,0,2,7,15,A01
200500002332,5,1,26,1320,1,2,3,1,6,145.0,", VERDUN (AVENUE DE)",,,,120,4.0,0.0,0.0,,2,2,,,3,2,1,0,0,1,5,4,3,1,1,1,1,1,22,0,0,0,1982.0,A01,0,1,0,0,1,1,21,A01
200500002336,5,1,5,1855,5,2,1,1,3,1.0,JUVENAL MAX (AV),,,,130,4.0,0.0,0.0,,3,4,,,0,1,1,40,140,1,0,1,99,1,1,4,1,9,23,0,0,0,1988.0,A01,0,1,0,0,2,1,19,A01
200500002686,5,1,18,720,5,2,6,2,3,299.0,"17299281, PELLETAN AVENU",,,,170,4.0,0.0,0.0,,2,2,,,0,1,1,10,101,2,5,1,99,1,1,3,1,1,91,0,0,0,1953.0,B01,0,1,0,0,2,5,19,B01
200500002696,5,1,10,1845,5,2,1,1,6,300.0,PRUNIER,,,,170,4.0,0.0,0.0,,1,1,1.0,0.0,0,1,1,0,0,1,0,1,99,1,1,4,2,2,93,0,0,0,1984.0,A01,0,1,0,1,0,1,1,A01
200500002774,5,1,5,740,5,2,2,1,3,231.0,ROBERT SCHUMANN (BOULEVA,,,,210,4.0,0.0,0.0,,3,5,,,0,1,1,10,94,2,5,1,99,1,1,4,1,1,92,0,0,0,1963.0,A01,0,1,0,0,2,1,15,A01
200500002793,5,1,17,1935,5,2,2,1,3,231.0,ROUEN (DE) (RUE),,,,210,4.0,0.0,0.0,,2,2,,,0,1,1,0,66,1,0,1,0,1,1,3,1,0,22,0,0,0,1977.0,A01,0,1,0,0,2,1,1,A01
200500002819,5,1,4,1200,1,2,3,1,6,322.0,ANGOULEME (RUE D'),,,,240,3.0,0.0,0.0,,2,2,2.0,900.0,0,1,3,0,81,1,5,1,99,1,1,3,1,3,92,0,0,0,1937.0,B01,0,1,0,0,2,1,1,B01
200500002880,5,1,19,1210,1,2,1,8,1,281.0,"ignoré, MARTIN GERMAIN (",,,,260,4.0,0.0,0.0,,2,2,,,0,1,1,0,0,1,0,1,3,1,1,4,1,2,22,0,0,0,1988.0,A01,0,1,0,0,2,1,17,A01
200500003035,5,1,20,802,2,2,2,2,3,69.0,"46, CORNEBARRIEU (AV DE)",,,,310,4.0,0.0,0.0,,2,2,,,0,1,1,0,68,2,0,1,99,1,1,3,1,9,41,0,0,0,1935.0,B01,0,1,0,0,0,7,19,B01
200500003053,5,1,5,940,1,2,1,1,6,555.0,"12, GARIGLIANO (PONT DE)",,,,310,4.0,0.0,0.0,,0,1,,,1,1,0,0,300,1,2,4,0,1,1,3,1,2,0,0,0,0,1984.0,A01,0,1,0,0,1,0,2,A01
200500003069,5,1,10,1732,1,2,1,1,3,555.0,RIEUX (AV JEAN) DU 1AU 4,,,,310,4.0,0.0,0.0,,2,2,,,0,2,1,0,60,1,0,1,99,1,1,3,1,1,91,0,0,0,1993.0,A01,0,1,0,0,2,0,2,A01
200500003073,5,1,11,1830,5,2,1,1,6,555.0,"99, FITTE (ALL CHARLES D",,,,310,4.0,0.0,0.0,,2,2,,,0,1,1,0,90,1,0,4,99,1,1,3,1,4,0,0,0,0,1979.0,A01,0,1,0,12,0,1,2,A01
200500003110,5,1,25,1830,2,2,1,1,6,555.0,"33, MARAICHERS (CHE DES)",,,,310,4.0,0.0,0.0,,2,2,,,0,1,1,0,111,1,0,1,99,1,1,3,1,5,21,0,0,0,1930.0,A01,0,1,0,0,2,1,2,A01
200500003145,5,1,4,752,2,2,1,1,2,281.0,"91, LIBERATION (AVE DE L",,,,330,4.0,0.0,0.0,,2,2,,,0,1,1,0,780,1,0,1,0,1,1,4,2,0,23,0,0,0,1991.0,A01,0,1,0,0,2,4,15,A01
200500003163,5,1,7,915,1,2,2,5,6,522.0,GAMBETTA (CRS ),,,,330,4.0,0.0,0.0,,3,1,,,3,1,1,66,30,1,3,0,0,1,1,3,2,0,23,0,0,0,1930.0,A01,0,1,0,0,4,0,19,A01
200500003189,5,1,7,1215,1,2,4,1,2,249.0,LIBERATION (AVE DE LA),,,,330,4.0,0.0,0.0,,3,2,,,3,1,1,0,0,1,0,0,0,1,1,3,1,0,23,0,0,0,1987.0,A01,0,1,0,0,4,4,19,A01
200500003245,5,1,31,1940,5,2,2,1,3,63.0,GALLIEN (RUE DU PALAIS),,,,330,4.0,0.0,0.0,,1,1,,,0,2,1,0,0,1,0,1,0,1,1,4,1,0,23,0,0,0,1966.0,A01,0,1,0,0,2,7,1,A01
200500003326,5,1,13,1710,1,2,1,1,6,238.0,SOLFERINO (BD),,,,350,4.0,0.0,0.0,,0,2,,,2,0,0,0,60,0,0,1,0,1,1,3,2,9,93,0,0,0,1942.0,A01,0,1,0,1,0,0,21,A01
200500003359,5,1,22,1000,1,2,6,1,3,288.0,ANCIENS COMBATTANTS D'AF,,,,350,4.0,0.0,0.0,,1,0,,,0,1,0,0,0,1,0,1,99,1,1,3,1,2,93,0,0,0,1988.0,B01,0,1,0,0,2,0,0,B01
200500003378,5,1,8,1820,2,2,1,1,6,261.0,"., STENDHAL (AVENUE)",,,,370,4.0,0.0,0.0,,3,2,,,2,1,1,200,150,1,0,1,0,1,1,3,2,5,93,0,0,0,1993.0,A01,0,1,0,0,2,0,19,A01
200500003385,5,1,27,1820,5,2,2,1,3,261.0,"., LECLERC (PLACE DU MAR",,,,370,4.0,0.0,0.0,,3,4,,,0,1,1,18,150,1,5,1,99,1,1,3,1,2,42,0,0,0,1989.0,A01,0,1,0,0,2,8,0,A01
200500003395,5,1,8,955,1,2,1,1,6,421.0,"00, GALILEE (RUE)",,,,380,4.0,0.0,0.0,,2,2,,,0,1,1,0,70,1,0,1,99,1,1,1,1,9,93,0,0,0,1962.0,A01,0,1,0,0,1,1,1,A01
200500003413,5,1,24,940,1,2,1,4,6,151.0,"00, HONHOUE (AVE D' )",,,,380,2.0,0.0,0.0,,3,3,,,0,1,3,30,150,2,5,1,0,1,1,2,2,0,93,0,0,0,1950.0,A01,0,1,0,0,2,0,18,A01
200500003415,5,1,25,905,1,2,3,1,3,185.0,"00, CONDILLAC (RUE)",,,,380,4.0,0.0,0.0,,1,2,,,1,1,1,0,69,2,0,5,0,1,1,4,2,0,93,0,0,0,1982.0,A01,0,1,0,0,2,1,1,A01
200500003432,5,1,30,918,1,2,1,1,7,192.0,"22, CLEMENCEAU (AV GEORG",,,,400,3.0,0.0,0.0,,2,3,,,0,1,1,0,105,1,0,1,99,1,1,3,1,5,22,0,0,0,1978.0,A01,0,1,0,0,0,1,1,A01
200500003449,5,1,18,1730,1,2,1,8,6,269.0,", TREMAULT (BOULEVARD DE",,,,410,4.0,0.0,0.0,,2,2,,,0,4,1,0,61,2,0,1,0,1,1,1,1,1,92,0,0,0,1960.0,A01,0,1,0,0,1,1,1,A01
200500003466,5,1,3,1615,1,2,1,1,6,127.0,lieu dit cornillon,,,,420,4.0,0.0,0.0,,2,2,,,0,1,1,0,35,1,0,1,99,1,1,3,1,5,21,0,0,0,1943.0,A01,0,1,0,0,5,1,1,A01
200500003487,5,1,8,1059,1,2,6,1,6,330.0,ROOSEVELT FRANKLIN (SQUA,,,,420,4.0,0.0,0.0,,1,2,0.0,1.0,0,1,0,0,64,1,0,1,0,1,1,4,1,5,21,0,0,0,1957.0,B01,0,1,0,0,2,4,0,B01
200500003616,5,1,4,1015,1,2,3,1,3,234.0,GENEVOIX (RUE MAURICE GE,,,,450,4.0,0.0,0.0,,2,0,,,0,1,1,0,0,1,0,1,0,1,1,4,1,9,93,0,0,0,1944.0,A01,0,1,0,0,2,1,19,A01
200500003655,5,1,21,750,2,2,6,2,3,323.0,REVOLUTION (PLACE DE LA),,,,470,3.0,0.0,0.0,,1,1,,,0,1,2,162,100,2,5,1,0,1,1,3,1,1,42,0,0,0,1943.0,B01,0,1,0,0,2,4,1,B01
200500003670,5,1,7,1649,1,2,1,1,6,7.0,"49, MAIL",,,,490,4.0,0.0,0.0,,1,1,,,0,1,1,0,63,2,0,1,3,1,1,4,2,5,91,0,0,0,1954.0,A01,0,1,0,0,1,1,1,A01
200500003705,5,1,28,1223,1,2,1,1,2,7.0,"76, RABELAIS",,,,490,4.0,0.0,0.0,,2,2,,,0,1,1,0,70,1,0,1,99,1,1,4,1,2,0,0,0,0,1985.0,A01,0,1,0,0,2,1,1,A01
200500003727,5,1,7,735,5,2,2,2,3,129.0,", SOREL (RUE GEORGES)",,,,500,4.0,0.0,0.0,,1,1,,,0,4,1,0,59,2,0,1,3,1,1,3,1,2,23,0,0,0,1991.0,A01,0,1,0,0,2,1,1,A01
200500003731,5,1,11,900,1,2,3,1,2,129.0,", NORMANDIE (AVENUE DE)",,,,500,4.0,0.0,0.0,,2,2,,,0,2,1,0,108,2,0,1,0,1,1,3,1,1,23,0,0,0,1981.0,A01,0,1,0,0,2,1,1,A01
200500003774,5,1,12,1245,1,2,3,1,3,534.0,"60, FRANCE (RUE ANATOLE)",,,,520,4.0,0.0,0.0,,2,2,,,0,1,1,0,80,1,0,1,99,1,1,4,1,5,42,0,0,0,1973.0,A01,0,1,0,0,2,1,15,A01
200500003801,5,1,8,1140,1,2,1,1,2,395.0,FOCH (AVENUE 2 A 16/1 A,,,,540,4.0,0.0,0.0,,1,3,,,1,2,1,0,0,1,2,1,99,1,1,4,1,5,23,0,0,0,1984.0,A01,0,1,0,14,0,1,1,A01
