Num_Acc,an,mois,jour,hrmn,lum,agg,int,atm,col,com,adr,gps,lat,long,dep,catr,voie,v1,v2,circ,nbv,pr,pr1,vosp,prof,plan,lartpc,larrout,surf,infra,situ,env1,place,catu,grav,sexe,trajet,secu,locp,actp,etatp,an_nais,num_veh_x,senc,catv,occutc,obs,obsm,choc,manv,num_veh_y
201700000019,17,8,9,745,1,1,6,1.0,3.0,34,D54,M,5054769.0,310034.0,590,3,54.0,,,2.0,2.0,,,0.0,1.0,0.0,0.0,15.0,1.0,,,,1.0,1,3,1,1.0,92.0,0.0,0.0,0.0,1984.0,B01,0.0,1,0,0.0,2.0,2.0,2.0,B01
201700000022,17,12,27,1200,1,1,2,1.0,3.0,586,rue de wachemy,M,5054129.0,318902.0,590,3,94.0,,,2.0,2.0,,,0.0,1.0,0.0,0.0,10.0,1.0,,,,1.0,1,3,1,5.0,21.0,0.0,0.0,0.0,1955.0,B01,0.0,1,0,0.0,2.0,1.0,1.0,B01
201700000043,17,4,15,1135,1,2,1,1.0,6.0,212,rue du collège,M,5064736.0,272026.0,590,3,18.0,,,2.0,2.0,,,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,3.0,1.0,1,4,1,5.0,21.0,0.0,0.0,0.0,1989.0,A01,2.0,1,0,0.0,1.0,1.0,1.0,A01
201700000058,17,9,23,1445,1,2,3,1.0,1.0,44,Face au commerce ALDI 12,M,5060791.0,327096.0,590,3,941.0,,,2.0,2.0,40.0,,1.0,1.0,0.0,0.0,10.0,0.0,,,,1.0,1,4,1,5.0,91.0,0.0,0.0,0.0,1958.0,B01,1.0,1,0,0.0,2.0,1.0,5.0,B01
201700000092,17,6,23,1955,2,2,1,7.0,6.0,93,chemin de mont orgueil,M,5005823.0,389344.0,590,4,0.0,,,2.0,2.0,,,0.0,4.0,0.0,0.0,15.0,1.0,,,,1.0,1,3,1,5.0,21.0,0.0,0.0,0.0,1968.0,A01,0.0,1,0,13.0,0.0,7.0,0.0,A01
201700000108,17,9,30,1430,1,2,1,1.0,3.0,249,rue de la paix,M,5001826.0,404396.0,590,4,25.0,,,2.0,1.0,,,0.0,2.0,0.0,0.0,10.0,1.0,,,,1.0,1,3,1,5.0,91.0,0.0,0.0,0.0,1981.0,A01,0.0,1,0,0.0,2.0,1.0,1.0,A01
201700000164,17,7,4,1925,1,2,1,1.0,1.0,481,Place du jeu de paume,M,5025066.0,362397.0,590,6,0.0,,,2.0,2.0,,,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,99.0,1.0,1,4,1,5.0,22.0,0.0,0.0,0.0,2007.0,B01,0.0,1,0,0.0,2.0,1.0,5.0,B01
201700000197,17,9,10,930,1,2,1,1.0,6.0,201,13 Grand rue,M,5056414.0,161329.0,620,4,0.0,,,2.0,2.0,,,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,99.0,1.0,1,3,1,5.0,21.0,0.0,0.0,0.0,1951.0,A01,0.0,1,0,0.0,1.0,1.0,1.0,A01
201700000198,17,1,13,1110,1,2,3,7.0,3.0,14,rue du bois,M,5063695.0,240949.0,620,4,,,,,,,,,,,,,,,1.0,,1.0,1,4,2,3.0,93.0,0.0,0.0,0.0,1960.0,B01,0.0,1,0,0.0,2.0,8.0,1.0,B01
201700000200,17,1,31,1615,1,2,1,1.0,7.0,14,rue jean Jaures,M,5063564.0,240146.0,620,9,0.0,,,1.0,2.0,,,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,3.0,1.0,1,4,1,2.0,92.0,0.0,0.0,0.0,2002.0,A01,0.0,1,0,0.0,0.0,0.0,0.0,A01
201700000246,17,7,11,1623,1,1,2,1.0,3.0,684,,M,4989602.0,411110.0,20,3,1043.0,,,2.0,2.0,11.0,433.0,0.0,1.0,0.0,13.0,315.0,1.0,0.0,1.0,99.0,1.0,1,2,2,5.0,22.0,0.0,0.0,0.0,1943.0,B01,1.0,1,0,0.0,2.0,8.0,19.0,B01
201700000328,17,3,2,1745,1,2,9,1.0,6.0,141,28 allée du vallois,M,4920024.0,246325.0,600,6,,,a,0.0,0.0,,,0.0,1.0,0.0,0.0,10.0,1.0,0.0,0.0,99.0,1.0,1,1,1,5.0,92.0,0.0,0.0,0.0,2004.0,A01,0.0,1,0,0.0,1.0,1.0,2.0,A01
201700000364,17,10,6,1730,1,1,1,1.0,3.0,313,258 route de paris,M,4935393.0,112984.0,760,3,6015.0,,,2.0,2.0,3.0,32.0,0.0,1.0,1.0,0.0,69.0,1.0,0.0,1.0,99.0,1.0,1,3,1,5.0,22.0,0.0,0.0,0.0,1946.0,A01,1.0,1,0,0.0,2.0,2.0,12.0,A01
201700000386,17,5,9,1840,1,2,3,7.0,1.0,758,rue Gustave Pries,M,4961603.0,76426.0,760,4,0.0,,,2.0,2.0,,,0.0,1.0,0.0,8.0,10.0,1.0,,,,1.0,1,4,1,1.0,92.0,0.0,0.0,0.0,1991.0,B01,1.0,1,0,0.0,2.0,1.0,1.0,B01
201700000439,17,6,17,1730,1,2,1,1.0,6.0,122,33 rue saint andré - VEX,M,4920904.0,160021.0,270,3,7.0,,,2.0,2.0,13.0,200.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,1.0,99.0,1.0,1,4,1,5.0,21.0,0.0,0.0,0.0,2002.0,A01,0.0,1,0,15.0,0.0,0.0,0.0,A01
201700000475,17,10,28,1710,1,1,6,1.0,3.0,47,giratoire RD 34 / RD 77,M,4806216.0,-175512.0,350,3,34.0,,,2.0,2.0,12.0,337.0,0.0,1.0,0.0,0.0,10.0,1.0,5.0,1.0,99.0,1.0,1,4,1,5.0,21.0,0.0,0.0,0.0,1969.0,B01,1.0,1,0,0.0,2.0,1.0,1.0,B01
201700000479,17,4,9,2000,1,1,2,1.0,3.0,152,bâton roulant,M,4818726.0,-151448.0,350,3,27.0,,,2.0,2.0,35.0,590.0,0.0,1.0,1.0,,,1.0,5.0,1.0,99.0,1.0,1,3,1,5.0,21.0,0.0,0.0,0.0,1966.0,B01,2.0,1,0,0.0,2.0,8.0,1.0,B01
201700000555,17,10,26,1515,1,1,1,1.0,1.0,233,cote du HOUEL,M,4871561.0,-308560.0,220,3,15.0,,,2.0,2.0,14.0,120.0,0.0,2.0,3.0,0.0,65.0,1.0,0.0,1.0,99.0,1.0,1,3,1,5.0,21.0,0.0,0.0,0.0,1953.0,A01,1.0,1,0,0.0,2.0,1.0,13.0,A01
201700000607,17,5,15,1940,1,1,2,1.0,3.0,286,Haut Boulay - CD.768,M,4852311.0,-238257.0,220,3,68.0,,,2.0,2.0,9.0,1450.0,0.0,1.0,,0.0,60.0,1.0,0.0,1.0,99.0,1.0,1,4,2,5.0,21.0,0.0,0.0,0.0,1975.0,A01,2.0,1,0,0.0,2.0,8.0,19.0,A01
201700000608,17,5,18,1515,1,1,1,1.0,6.0,12,Surville,M,4858193.0,-244153.0,220,3,68.0,,,2.0,2.0,11.0,1200.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,99.0,1.0,1,3,1,5.0,21.0,0.0,0.0,0.0,1967.0,A01,2.0,1,0,0.0,5.0,1.0,1.0,A01
201700000615,17,2,19,1145,1,2,3,1.0,3.0,70,rond point du vally,M,4856023.0,-314853.0,220,4,,,,1.0,1.0,,,0.0,1.0,1.0,,,1.0,5.0,1.0,0.0,1.0,1,3,1,5.0,21.0,0.0,0.0,0.0,1949.0,B01,0.0,1,0,0.0,2.0,1.0,1.0,B01
201700000636,17,8,14,1850,1,2,3,1.0,3.0,353,rue de poul palud,M,4882321.0,-350301.0,220,3,788.0,,D,2.0,2.0,17.0,390.0,0.0,1.0,0.0,0.0,10.0,1.0,5.0,1.0,0.0,1.0,1,4,1,5.0,21.0,0.0,0.0,0.0,1966.0,B01,2.0,1,0,0.0,2.0,1.0,1.0,B01
201700000643,17,4,17,1940,1,2,1,1.0,6.0,46,QUAI MARIE AGNÉS PERON,M,4809595.0,-434127.0,290,4,0.0,,,2.0,2.0,,,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,99.0,1.0,1,1,1,5.0,92.0,0.0,0.0,0.0,2002.0,A01,0.0,1,0,0.0,1.0,2.0,1.0,A01
201700000644,17,5,23,1200,1,2,2,1.0,3.0,46,rue Jean Bart,M,4809314.0,-432892.0,290,4,,,,,,,,,,,,,,,,,1.0,1,3,1,5.0,22.0,0.0,0.0,0.0,1953.0,B01,0.0,1,0,0.0,0.0,7.0,1.0,B01
201700000648,17,10,4,1220,1,2,2,1.0,3.0,46,34 rue jean jaurès,M,4809151.0,-432740.0,290,4,,,,2.0,,,,,,,,,,,,,1.0,1,3,1,1.0,22.0,0.0,0.0,0.0,1976.0,A01,0.0,1,0,0.0,2.0,1.0,17.0,A01
