Num_Acc,an,mois,jour,hrmn,lum,agg,int,atm,col,com,adr,gps,lat,long,dep,catr,voie,v1,v2,circ,nbv,pr,pr1,vosp,prof,plan,lartpc,larrout,surf,infrasituenv1,place,catu,grav,sexe,trajet,secu,locp,actp,etatp,an_nais,num_veh_x,senc,catv,occutc,obs,obsm,choc,manv,num_veh_y
200900020336,9,9,5,50,5,2,1,1.0,6,106,10, BOULEVARD SAINT MICH,,,750.0,4,0.0,,,1.0,2.0,,,3.0,2.0,1.0,0.0,0.0,1.0,100.0,,3,4,1,5.0,,4.0,3.0,1.0,1967.0,A01,0,1,0,0.0,1.0,1.0,7.0,A01
200900020345,9,9,5,1930,1,2,1,1.0,6,108,15, RUE DE ROME,,,750.0,4,0.0,,,2.0,3.0,,,0.0,2.0,1.0,0.0,120.0,1.0,199.0,1.0,1,4,1,0.0,23.0,0.0,0.0,0.0,1970.0,A01,0,1,0,0.0,1.0,1.0,1.0,A01
200900020368,9,9,7,1000,1,2,4,1.0,3,113,26, AVENUE DES GOBELINS,,,750.0,4,0.0,,,1.0,2.0,,,3.0,1.0,1.0,0.0,120.0,1.0,100.0,1.0,1,4,2,1.0,23.0,0.0,0.0,0.0,1967.0,B01,0,1,0,0.0,2.0,0.0,7.0,B01
200900020381,9,9,7,1550,1,2,5,1.0,6,104,1, RUE SAINT ANTOINE,,,750.0,4,0.0,,,2.0,2.0,,,3.0,1.0,0.0,0.0,115.0,1.0,100.0,,3,1,1,9.0,,4.0,3.0,1.0,1972.0,A01,0,1,0,0.0,1.0,2.0,7.0,A01
200900020388,9,9,7,1650,1,2,5,1.0,2,120,AVENUE GAMBETTA,,,,750.0,4,0.0,,,2.0,2.0,,,0.0,4.0,1.0,0.0,80.0,1.0,100.0,1.0,1,4,1,5.0,23.0,0.0,0.0,0.0,1958.0,B01,0,1,0,0.0,2.0,4.0,23.0,B01
200900020396,9,9,7,1905,1,2,1,1.0,2,115,93, AVENUE EMILE ZOLA,,,750.0,4,0.0,,,2.0,2.0,,,0.0,1.0,1.0,0.0,60.0,1.0,0.0,1.0,1,4,1,0.0,23.0,0.0,0.0,0.0,1948.0,B01,0,1,0,0.0,2.0,0.0,1.0,B01
200900020443,9,9,9,1125,1,2,1,1.0,7,119,73, AVENUE JEAN JAURES,,,750.0,4,0.0,,,2.0,2.0,,,1.0,1.0,1.0,0.0,70.0,1.0,500.0,1.0,1,4,2,5.0,23.0,0.0,0.0,0.0,1948.0,A01,0,1,0,0.0,0.0,0.0,1.0,A01
200900020451,9,9,9,1530,1,2,3,8.0,6,107,48, AVENUE DE LA BOURDON,,,750.0,4,0.0,,,1.0,0.0,,,0.0,1.0,1.0,0.0,130.0,1.0,199.0,1.0,1,4,2,0.0,23.0,0.0,0.0,0.0,1959.0,A01,0,1,0,0.0,2.0,2.0,1.0,A01
200900020458,9,9,9,1850,2,2,1,8.0,3,120,86, RUE SAINT BLAISE,,,750.0,4,0.0,,,1.0,1.0,,,0.0,2.0,1.0,0.0,0.0,1.0,6103.0,1.0,1,3,2,3.0,23.0,0.0,0.0,0.0,2000.0,A01,0,1,0,0.0,2.0,2.0,19.0,A01
200900020461,9,9,9,1930,1,2,1,1.0,3,111,145, BOULEVARD VOLTAIRE,,,750.0,4,0.0,,,2.0,1.0,,,0.0,2.0,1.0,0.0,111.0,1.0,100.0,1.0,1,4,2,5.0,23.0,0.0,0.0,0.0,1981.0,B01,0,1,0,0.0,2.0,0.0,1.0,B01
200900020469,9,9,10,935,1,2,5,8.0,1,113,107, RUE DE TOLBIAC,,,750.0,4,0.0,,,2.0,3.0,,,0.0,1.0,1.0,50.0,110.0,1.0,199.0,1.0,1,4,1,9.0,23.0,0.0,0.0,0.0,1974.0,A01,0,1,0,0.0,2.0,1.0,5.0,A01
200900020472,9,9,10,1050,1,2,5,1.0,6,111,136, RUE DE LA ROQUETTE,,,750.0,4,0.0,,,2.0,3.0,,,0.0,1.0,1.0,0.0,140.0,2.0,100.0,,3,4,2,0.0,,4.0,3.0,1.0,1925.0,A01,0,1,0,0.0,1.0,0.0,1.0,A01
200900020482,9,9,10,1710,1,2,1,1.0,7,105,59, RUE DU CARDINAL LEMO,,,750.0,4,0.0,,,2.0,4.0,,,0.0,2.0,1.0,0.0,120.0,1.0,100.0,1.0,1,3,2,5.0,23.0,0.0,0.0,0.0,1953.0,A01,0,1,0,0.0,0.0,0.0,14.0,A01
200900020521,9,9,11,1900,1,2,1,1.0,3,107,AVENUE EMILE ACOLLAS,,,,750.0,4,0.0,,,1.0,1.0,,,0.0,1.0,1.0,0.0,75.0,1.0,100.0,1.0,1,1,2,5.0,23.0,0.0,0.0,0.0,1958.0,B01,0,1,0,0.0,2.0,3.0,9.0,B01
200900020543,9,9,14,1320,1,2,1,1.0,3,118,22, AVENUE DE SAINT OUEN,,,750.0,4,0.0,,,2.0,2.0,,,0.0,2.0,1.0,0.0,100.0,1.0,100.0,1.0,1,4,1,1.0,23.0,0.0,0.0,0.0,1968.0,B01,0,1,0,0.0,2.0,1.0,1.0,B01
200900020546,9,9,14,1545,1,2,1,1.0,2,116,60, AVENUE DE NEW YORK,,,750.0,4,0.0,,,1.0,1.0,,,0.0,1.0,1.0,0.0,0.0,1.0,100.0,1.0,1,1,1,5.0,23.0,0.0,0.0,0.0,1971.0,A01,0,1,0,0.0,2.0,4.0,23.0,A01
200900020551,9,9,14,1710,1,2,1,1.0,6,113,24, QUAI D AUSTERLITZ,,,750.0,4,0.0,,,2.0,4.0,,,1.0,1.0,1.0,0.0,120.0,1.0,500.0,1.0,1,3,1,1.0,21.0,0.0,0.0,0.0,1966.0,A01,0,1,0,12.0,0.0,0.0,14.0,A01
200900020574,9,9,13,1800,1,2,5,1.0,3,102,BOULEVARD DES CAPUCINES,,,,750.0,4,0.0,,,1.0,1.0,,,0.0,1.0,1.0,0.0,81.0,1.0,100.0,1.0,1,2,1,5.0,23.0,0.0,0.0,0.0,1946.0,A01,0,1,0,0.0,2.0,1.0,1.0,A01
200900020606,9,9,12,1042,1,2,1,1.0,6,112,ROUTE DAUPHINE,,,,750.0,4,0.0,,,1.0,1.0,,,1.0,1.0,1.0,0.0,100.0,1.0,599.0,1.0,1,3,1,5.0,21.0,0.0,0.0,0.0,1963.0,A01,0,1,0,0.0,0.0,1.0,1.0,A01
200900020613,9,9,12,1545,1,2,3,1.0,3,120,0, BOULEVARD MORTIER,,,750.0,4,0.0,,,1.0,1.0,,,0.0,1.0,1.0,0.0,110.0,1.0,100.0,1.0,1,4,1,5.0,21.0,0.0,0.0,0.0,2004.0,B01,0,1,0,0.0,2.0,1.0,19.0,B01
200900020686,9,9,19,1035,1,2,1,1.0,2,112,AVENUE DU TREMBLAY,,,,750.0,4,0.0,,,2.0,4.0,,,0.0,1.0,1.0,0.0,110.0,1.0,199.0,1.0,1,4,2,5.0,21.0,0.0,0.0,0.0,1953.0,A01,0,1,0,0.0,2.0,1.0,1.0,A01
200900020736,9,9,18,2335,5,2,1,1.0,6,120,RUE DE BAGNOLET,,,,750.0,4,0.0,,,2.0,2.0,,,0.0,1.0,3.0,0.0,60.0,1.0,100.0,,3,4,2,0.0,,4.0,3.0,1.0,1979.0,A01,0,1,0,0.0,1.0,1.0,1.0,A01
200900020737,9,9,22,750,1,2,1,1.0,3,106,15BIS, RUE DE VAUGIRARD,,,750.0,4,0.0,,,2.0,2.0,,,0.0,1.0,1.0,130.0,70.0,1.0,1100.0,1.0,1,4,1,0.0,23.0,0.0,0.0,0.0,1982.0,B01,0,1,0,0.0,2.0,1.0,18.0,B01
