Num_Acc,an,mois,jour,hrmn,lum,agg,int,atm,col,com,adr,gps,lat,long,dep,catr,voie,v1,v2,circ,nbv,pr,pr1,vosp,prof,plan,lartpc,larrout,surf,infra,situ,env1,place,catu,grav,sexe,trajet,secu,locp,actp,etatp,an_nais,num_veh_x,senc,catv,occutc,obs,obsm,choc,manv,num_veh_y
201200000030,12,10,14,1200,1,1,1,1.0,6,408,586 rue du Haut,M,5044798.0,307207.0,590,3,120.0,,,2.0,0.0,9.0,500.0,0.0,2.0,3.0,0.0,67.0,1.0,0.0,3.0,99.0,1.0,1,3,1,5.0,21.0,0.0,0.0,0.0,1964.0,A01,0,1,0,1.0,0.0,1.0,1.0,A01
201200000036,12,3,28,1400,1,1,1,1.0,3,532,Rue Saint Georges,M,5097413.0,217926.0,590,3,17.0,,,2.0,2.0,3.0,800.0,0.0,1.0,1.0,0.0,31.0,1.0,0.0,1.0,0.0,1.0,1,3,2,5.0,1.0,0.0,0.0,0.0,1935.0,B02,0,1,0,0.0,2.0,8.0,1.0,B02
201200000077,12,7,26,1100,1,2,1,1.0,1,423,81 rue ferdinand capelle,M,5065542.0,266185.0,590,3,38.0,,,2.0,1.0,4.0,625.0,1.0,1.0,1.0,0.0,80.0,1.0,0.0,1.0,99.0,1.0,1,3,2,5.0,1.0,0.0,0.0,0.0,1962.0,C03,0,1,0,0.0,2.0,4.0,2.0,C03
201200000099,12,3,25,1100,1,1,1,1.0,5,173,Rte de Comines,M,5073364.0,295073.0,590,3,945.0,,,2.0,2.0,25.0,0.0,1.0,1.0,1.0,150.0,0.0,9.0,0.0,5.0,99.0,1.0,1,4,1,5.0,21.0,0.0,0.0,0.0,1956.0,A01,0,1,0,0.0,0.0,0.0,1.0,A01
201200000104,12,5,27,1900,1,2,1,7.0,1,559,20 rue du moulin,M,5034106.0,364687.0,590,4,0.0,,,2.0,2.0,0.0,0.0,0.0,2.0,1.0,0.0,54.0,1.0,0.0,1.0,0.0,1.0,1,3,2,5.0,1.0,0.0,0.0,0.0,1997.0,B02,0,1,0,0.0,2.0,1.0,15.0,B02
201200000122,12,10,15,1345,1,2,3,1.0,3,61,Rte de Prisches/ Haute r,M,5006199.0,379383.0,590,3,116.0,,,0.0,0.0,8.0,356.0,0.0,0.0,0.0,0.0,60.0,1.0,0.0,0.0,0.0,1.0,1,3,1,5.0,21.0,0.0,0.0,0.0,1937.0,A01,0,1,0,0.0,0.0,1.0,0.0,A01
201200000139,12,10,15,2145,3,1,1,2.0,1,321,Rte départementale,M,5011873.0,347756.0,590,3,643.0,,,2.0,2.0,16.0,450.0,0.0,1.0,1.0,0.0,69.0,2.0,0.0,1.0,99.0,1.0,1,3,2,5.0,,0.0,0.0,0.0,1967.0,B02,0,1,0,0.0,2.0,5.0,19.0,B02
201200000282,12,8,24,1600,1,2,2,1.0,6,875,rue pottier,M,5071400.0,234100.0,620,3,199.0,,,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,60.0,1.0,0.0,1.0,0.0,1.0,1,3,1,5.0,22.0,0.0,0.0,0.0,1948.0,B02,0,1,0,0.0,0.0,8.0,19.0,B02
201200000558,12,7,10,1745,1,2,3,1.0,3,445,rue d'Augnicourt,M,4949000.0,310100.0,600,4,0.0,,,1.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,42.0,1.0,5.0,1.0,3.0,1.0,1,3,1,5.0,21.0,0.0,0.0,0.0,2004.0,B02,0,1,0,0.0,2.0,2.0,5.0,B02
201200000559,12,7,21,1845,1,2,1,1.0,1,537,RUE DU PARADIS,M,4952800.0,292500.0,600,4,,,D,2.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,85.0,1.0,0.0,1.0,0.0,1.0,1,3,1,5.0,22.0,0.0,0.0,0.0,2003.0,A01,0,1,0,0.0,2.0,0.0,5.0,A01
201200000669,12,9,9,1430,1,1,1,1.0,2,367,,M,4950750.0,108447.0,760,3,121.0,,,2.0,2.0,4.0,80.0,0.0,2.0,3.0,0.0,53.0,1.0,0.0,1.0,99.0,1.0,1,3,2,5.0,22.0,0.0,0.0,0.0,1981.0,B02,0,1,0,0.0,0.0,4.0,1.0,B02
201200000781,12,5,16,1845,1,2,1,1.0,1,306,LA GRANDE CONTREE,M,4897820.0,118735.0,270,3,165.0,,,2.0,2.0,2.0,200.0,0.0,1.0,3.0,0.0,55.0,1.0,0.0,1.0,99.0,1.0,1,3,1,5.0,1.0,0.0,0.0,0.0,1999.0,B02,0,1,0,0.0,2.0,1.0,15.0,B02
201200000799,12,3,19,1045,1,2,1,7.0,1,679,CHEMIN DES POISSONNIERS,M,4874150.0,91813.0,270,9,0.0,,,2.0,2.0,0.0,0.0,1.0,1.0,1.0,0.0,62.0,1.0,0.0,1.0,0.0,1.0,1,2,2,3.0,1.0,0.0,0.0,0.0,1933.0,A01,0,1,0,0.0,2.0,2.0,15.0,A01
201200000810,12,6,28,1745,1,1,1,2.0,1,635,,M,4926440.0,136035.0,270,3,126.0,,,2.0,2.0,3.0,0.0,0.0,1.0,1.0,0.0,40.0,2.0,0.0,1.0,0.0,1.0,1,3,1,5.0,21.0,0.0,0.0,0.0,1981.0,B02,0,1,0,0.0,0.0,8.0,2.0,B02
201200000866,12,7,30,1345,1,1,1,1.0,5,577,,M,4943690.0,54879.0,270,3,810.0,,,2.0,2.0,2.0,0.0,0.0,4.0,2.0,0.0,66.0,1.0,0.0,1.0,0.0,1.0,1,2,2,5.0,22.0,0.0,0.0,0.0,1962.0,C03,0,1,0,0.0,2.0,0.0,1.0,C03
201200000868,12,7,29,1330,1,1,1,1.0,1,65,,M,4934810.0,36156.0,270,3,675.0,,,2.0,2.0,44.0,900.0,0.0,1.0,1.0,0.0,124.0,1.0,0.0,1.0,99.0,1.0,1,3,1,5.0,1.0,0.0,0.0,0.0,1977.0,A01,0,1,0,0.0,0.0,4.0,1.0,A01
201200001067,12,6,10,615,1,2,1,1.0,6,389,RUE DE PENTHIEVRE,M,4848245.0,-267465.0,220,9,0.0,,,2.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,61.0,1.0,0.0,1.0,0.0,1.0,1,3,1,5.0,41.0,0.0,0.0,0.0,1956.0,A01,0,1,0,0.0,2.0,1.0,1.0,A01
201200001077,12,4,7,1230,1,2,2,1.0,3,280,Rue de l'Ecole,M,4841643.0,-206195.0,220,3,26.0,,,2.0,2.0,4.0,2172.0,0.0,1.0,1.0,0.0,51.0,1.0,0.0,1.0,99.0,1.0,1,3,1,5.0,21.0,0.0,0.0,0.0,1953.0,B02,0,1,0,0.0,2.0,7.0,1.0,B02
201200001086,12,11,22,1200,1,2,3,2.0,3,26,le bourg,M,4840864.0,-202881.0,220,3,26.0,,,2.0,2.0,3.0,1880.0,0.0,2.0,3.0,52.0,0.0,2.0,0.0,1.0,99.0,1.0,1,4,1,5.0,22.0,0.0,0.0,0.0,1952.0,A01,0,1,0,0.0,2.0,1.0,1.0,A01
201200001099,12,7,18,1730,1,2,3,1.0,3,302,Grande rue,M,4859651.0,-219044.0,220,4,0.0,,,2.0,2.0,0.0,0.0,0.0,2.0,1.0,0.0,55.0,1.0,0.0,1.0,0.0,1.0,1,3,1,5.0,1.0,0.0,0.0,0.0,1997.0,B02,0,1,0,0.0,2.0,1.0,1.0,B02
201200001204,12,6,27,1445,1,1,1,1.0,1,124,,M,4859045.0,-433240.0,290,3,770.0,,,2.0,2.0,0.0,0.0,0.0,3.0,1.0,0.0,69.0,1.0,0.0,1.0,0.0,1.0,1,2,1,5.0,1.0,0.0,0.0,0.0,1998.0,B02,0,1,0,0.0,0.0,0.0,2.0,B02
201200001231,12,5,28,1600,1,1,1,1.0,5,44,,M,4821736.0,-416705.0,290,4,0.0,,,1.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1,4,1,0.0,21.0,0.0,0.0,0.0,1993.0,E05,0,1,0,14.0,0.0,1.0,1.0,E05
201200001521,12,8,29,1345,1,2,2,1.0,3,478,RUE DE L'AIGLE,M,4901700.0,41190.0,140,4,,,,2.0,2.0,,,0.0,1.0,1.0,0.0,40.0,1.0,0.0,1.0,99.0,1.0,1,3,2,5.0,3.0,0.0,0.0,0.0,2002.0,B02,0,1,0,0.0,2.0,1.0,19.0,B02
201200001528,12,8,21,1145,1,1,3,1.0,3,302,,M,4925810.0,8620.0,140,3,675.0,,,2.0,2.0,20.0,279.0,0.0,1.0,1.0,0.0,76.0,1.0,0.0,1.0,0.0,1.0,1,3,2,5.0,2.0,0.0,0.0,0.0,1941.0,A01,0,1,0,0.0,2.0,8.0,15.0,A01
201200001605,12,3,16,1815,1,1,1,1.0,1,611,LA HOUSSERIE,M,4966930.0,-172106.0,500,3,45.0,,,2.0,2.0,21.0,373.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1,4,1,5.0,21.0,0.0,0.0,0.0,1963.0,B01,0,1,0,0.0,2.0,8.0,1.0,B01
201200001691,12,1,5,738,5,2,6,3.0,7,451,"SNR, BRESSE (AVENUE DE )",M,4621470.0,520430.0,10,3,117.0,,,2.0,2.0,1.0,175.0,0.0,1.0,2.0,0.0,60.0,2.0,5.0,1.0,99.0,1.0,1,4,1,1.0,42.0,0.0,0.0,0.0,1994.0,A01,0,1,0,0.0,0.0,1.0,1.0,A01
201200001740,12,6,10,1045,1,1,2,8.0,3,289,LENT ( ROUTE DE ),M,4616490.0,522083.0,10,3,23.0,,,2.0,2.0,11.0,511.0,0.0,1.0,1.0,0.0,66.0,1.0,0.0,1.0,99.0,1.0,1,4,1,5.0,21.0,0.0,0.0,0.0,1965.0,B01,0,1,0,0.0,2.0,2.0,1.0,B01
201200001777,12,10,6,915,1,2,3,1.0,3,344,TREVOUX (AVENUE DE),,,,10,2,,,,0.0,2.0,,,0.0,1.0,1.0,0.0,102.0,1.0,0.0,1.0,99.0,1.0,1,4,1,5.0,93.0,0.0,0.0,0.0,1939.0,B01,0,1,0,0.0,2.0,6.0,0.0,B01
201200001785,12,10,23,1720,1,1,6,1.0,6,451,"sans, PARIS (ROUTE DE)",,,,10,3,0.0,,,2.0,2.0,,,0.0,1.0,1.0,0.0,0.0,1.0,5.0,0.0,99.0,1.0,1,4,1,1.0,43.0,0.0,0.0,0.0,1990.0,B01,0,1,0,0.0,2.0,1.0,1.0,B01
201200002028,12,4,15,1145,1,2,6,1.0,3,69,bonne source,M,4733300.0,-243000.0,440,4,,,,2.0,0.0,,,0.0,0.0,1.0,0.0,100.0,1.0,5.0,1.0,99.0,1.0,1,3,1,5.0,21.0,0.0,0.0,0.0,1972.0,B02,0,1,0,0.0,2.0,5.0,1.0,B02
201200002185,12,6,30,1130,1,2,1,1.0,1,80,20 rue du Moulin,M,4768033.0,-48805.0,490,4,0.0,,,2.0,2.0,0.0,0.0,0.0,2.0,1.0,55.0,0.0,1.0,0.0,1.0,99.0,1.0,1,4,1,5.0,23.0,0.0,0.0,0.0,2002.0,A01,0,1,0,0.0,0.0,8.0,1.0,A01
201200002199,12,9,20,900,1,2,6,7.0,1,97,Rue de Sillé le Guillaum,M,4815609.0,-38387.0,530,3,32.0,,,4.0,0.0,11.0,265.0,0.0,1.0,0.0,0.0,0.0,1.0,5.0,1.0,0.0,1.0,1,3,2,5.0,22.0,0.0,0.0,0.0,1947.0,A01,0,1,0,0.0,2.0,3.0,9.0,A01
