Num_Acc,an,mois,jour,hrmn,lum,agg,int,atm,col,com,adr,gps,lat,long,dep,catr,voie,v1,v2,circ,nbv,pr,pr1,vosp,prof,plan,lartpc,larrout,surf,infra,situ,env1,place,catu,grav,sexe,trajet,secu,locp,actp,etatp,an_nais,num_veh_x,senc,catv,occutc,obs,obsm,choc,manv,num_veh_y
201800000004,18,5,5,1735,1,2,1,7.0,3.0,52,30 rue Jules Guesde,M,5051974.0,289123.0,590,3,39.0,,,2.0,2.0,,,0.0,1.0,1.0,,,1.0,0.0,1.0,0.0,1.0,1,3,1,5.0,2.0,0.0,0.0,0.0,2013.0,B01,0.0,1,0,0.0,2.0,8.0,0.0,B01
201800000216,18,10,17,1450,1,1,1,1.0,1.0,14,rue de monbus,M,5062565.0,234829.0,620,4,,,,0.0,2.0,,,0.0,1.0,4.0,,,1.0,0.0,1.0,0.0,1.0,1,3,1,5.0,22.0,0.0,0.0,0.0,2007.0,A01,0.0,1,0,0.0,2.0,7.0,1.0,A01
201800000222,18,4,11,1545,1,2,1,1.0,2.0,603,R D'ARREST,M,5010796.0,161532.0,800,3,48.0,,,2.0,2.0,15.0,100.0,0.0,1.0,1.0,,,1.0,0.0,1.0,0.0,1.0,1,3,1,5.0,21.0,0.0,0.0,0.0,1957.0,A01,2.0,1,0,0.0,2.0,1.0,1.0,A01
201800000317,18,10,20,1208,1,2,6,1.0,6.0,139,Intersection D 924 / D 4,M,4916692.0,224852.0,600,3,924.0,,,2.0,2.0,2.0,0.0,0.0,1.0,2.0,,,1.0,5.0,1.0,0.0,1.0,1,3,1,0.0,22.0,0.0,0.0,0.0,1951.0,A01,0.0,1,0,3.0,0.0,1.0,15.0,A01
201800000326,18,7,18,840,1,1,6,1.0,3.0,589,rond point du VER BOIS,M,4922083.0,246687.0,600,3,1016.0,,,4.0,2.0,10.0,280.0,0.0,2.0,2.0,,,1.0,5.0,1.0,0.0,1.0,1,3,2,5.0,21.0,0.0,0.0,0.0,1949.0,A01,0.0,1,0,0.0,2.0,6.0,1.0,A01
201800000356,18,6,21,800,1,1,1,1.0,1.0,239,Départementale 39,M,4954817.0,33492.0,760,3,39.0,,D,2.0,2.0,20.0,523.0,0.0,1.0,1.0,,,1.0,0.0,1.0,0.0,1.0,1,2,1,5.0,21.0,0.0,0.0,0.0,1935.0,B01,1.0,1,0,0.0,2.0,8.0,13.0,B01
201800000414,18,6,16,1454,1,2,3,1.0,7.0,165,Rue de la Forge,M,4896176.0,92378.0,270,3,140.0,,,2.0,2.0,14.0,400.0,0.0,2.0,1.0,,,9.0,0.0,3.0,0.0,1.0,1,3,2,3.0,22.0,0.0,0.0,0.0,1953.0,A01,0.0,1,0,0.0,0.0,0.0,0.0,A01
201800000482,18,9,6,710,2,2,2,1.0,1.0,458,rue du moulins / rue du,M,4932146.0,123025.0,270,3,20.0,,,2.0,2.0,14.0,490.0,0.0,1.0,1.0,,,1.0,0.0,1.0,0.0,1.0,1,4,1,1.0,22.0,0.0,0.0,0.0,1990.0,B01,0.0,1,0,0.0,2.0,8.0,9.0,B01
201800000494,18,6,2,1625,1,1,1,1.0,2.0,76,RD 34,M,4805876.0,-179446.0,350,3,34.0,,,2.0,2.0,9.0,500.0,0.0,1.0,1.0,,,1.0,0.0,1.0,99.0,1.0,1,3,1,5.0,42.0,0.0,0.0,0.0,1996.0,B01,1.0,1,0,0.0,2.0,4.0,1.0,B01
201800000495,18,7,8,1210,1,2,2,1.0,3.0,80,Chemin du Patis Cochet,M,4810245.0,-187465.0,350,4,,,,2.0,2.0,,,0.0,4.0,1.0,,,1.0,0.0,1.0,99.0,1.0,1,2,1,5.0,21.0,0.0,0.0,0.0,2012.0,A01,2.0,1,0,0.0,2.0,1.0,1.0,A01
201800000497,18,11,24,1630,1,2,3,1.0,1.0,37,RD 62,M,4806077.0,-187576.0,350,2,24.0,,,3.0,4.0,15.0,0.0,0.0,2.0,1.0,,,1.0,3.0,1.0,99.0,1.0,1,3,1,5.0,21.0,0.0,0.0,0.0,1964.0,B01,2.0,1,0,0.0,2.0,1.0,1.0,B01
