Num_Acc,an,mois,jour,hrmn,lum,agg,int,atm,col,com,adr,gps,lat,long,dep,catr,voie,v1,v2,circ,nbv,pr,pr1,vosp,prof,plan,lartpc,larrout,surf,infra,situ,env1,place,catu,grav,sexe,trajet,secu,locp,actp,etatp,an_nais,num_veh_x,senc,catv,occutc,obs,obsm,choc,manv,num_veh_y
200600000023,6,1,23,1410,1,2,3,7,1,185,BROSSOLETTE ( RUE PIERRE,,,,30,4,0.0,0.0,,2,2,,,0,1,1,0,49,1,0,1,0,1,1,3,1,5,92.0,0,0,0,1942.0,B01,0,1,0,0,2,1,1,B01
200600000059,6,1,16,1415,1,1,1,1,2,4,BACON BD DU ET BD GARDIO,,,,60,3,0.0,0.0,,2,1,1.0,0.0,0,1,1,0,60,1,0,1,0,1,1,3,1,5,21.0,0,0,0,1934.0,A01,0,1,0,14,0,1,2,A01
200600000280,6,1,22,1055,1,2,3,1,1,409,", MARNE (AVENUE DE LA)",,,,80,3,0.0,0.0,,2,3,,,0,1,1,0,128,1,0,1,0,1,1,3,1,5,43.0,0,0,0,1943.0,B01,0,1,0,0,2,1,1,B01
200600000289,6,1,16,1740,5,2,1,1,3,333,"000, CHARLES BALTET (RUE",,,,100,4,0.0,0.0,,2,2,,,0,1,1,0,68,0,0,1,99,1,1,1,1,5,93.0,0,0,0,1990.0,A01,0,1,0,0,0,0,9,A01
200600000441,6,1,23,1640,1,2,1,1,3,55,"76, CANEBIERE     1 A 79",,,,130,4,1.0,0.0,A,2,0,,,0,1,1,0,100,1,0,1,0,1,1,1,1,5,93.0,0,0,0,1994.0,A01,0,1,0,1,2,3,15,A01
200600000483,6,1,15,1600,1,2,1,1,6,55,"3, SAUVAN (BOULEVARD)",,,,130,4,1.0,0.0,A,1,1,,,0,1,1,0,75,1,0,1,0,1,1,3,2,0,93.0,0,0,0,1966.0,B01,0,1,0,0,2,0,0,B01
200600000509,6,1,6,745,2,2,1,8,7,55,ETIENNE MIEGE (RUE),,,,130,4,1.0,0.0,A,2,1,,,0,2,1,0,25,2,0,1,3,1,1,4,1,2,0.0,0,0,0,1990.0,A01,0,1,0,0,0,0,1,A01
200600000527,6,1,9,1200,1,2,3,1,3,55,SAINT LOUP (BOULEVARD DE,,,,130,4,1.0,0.0,A,2,0,,,0,1,0,0,120,0,0,1,0,1,1,4,1,0,23.0,0,0,0,1962.0,B01,0,1,0,0,2,1,0,B01
200600000567,6,1,24,1230,1,2,1,1,3,55,"16, CARTONNERIE (BOULEVA",,,,130,4,1.0,0.0,A,2,2,,,0,1,1,0,0,1,0,1,0,1,1,3,1,5,22.0,0,0,0,1943.0,B01,0,1,0,0,0,1,18,B01
200600000631,6,1,27,1210,1,2,1,1,2,299,"172990068, BUISSON BOULE",,,,170,4,0.0,0.0,,2,2,,,0,2,1,0,75,1,0,1,99,1,1,4,1,1,21.0,0,0,0,1951.0,A01,0,1,0,0,2,6,2,A01
200600000635,6,1,6,755,1,2,1,1,3,300,"125, SAUTEL  BOULEVARD A",,,,170,4,0.0,0.0,,2,0,,,0,1,1,0,0,1,0,1,99,1,1,3,1,2,21.0,0,0,0,1993.0,A01,0,1,0,0,2,7,19,A01
200600000636,6,1,6,930,1,2,3,1,3,300,"2, CHAUDRIER   RUE",,,,170,4,0.0,0.0,,2,2,,,2,1,1,0,52,1,0,1,3,1,1,4,2,1,93.0,0,0,0,1949.0,A01,0,1,0,0,2,1,1,A01
200600000660,6,1,5,1330,1,2,1,1,3,300,"10, RAVEL   RUE MAURICE",,,,170,4,0.0,0.0,,2,1,,,0,1,1,0,60,1,0,1,99,1,1,4,1,1,92.0,0,0,0,1987.0,A01,0,1,0,0,2,8,1,A01
200600000718,6,1,22,1850,5,2,1,1,3,231,"73, DRAPEAU (DU) (AVENUE",,,,210,2,0.0,0.0,,2,3,,,0,1,1,0,102,1,0,1,0,1,1,3,2,5,23.0,0,0,0,1949.0,A01,0,1,0,0,2,1,0,A01
200600000918,6,1,13,700,5,2,1,1,6,555,"12, PONT GARIGLIANO",,,,310,4,0.0,0.0,,2,2,,,0,1,1,0,54,1,0,1,99,1,1,4,1,1,23.0,0,0,0,1974.0,A01,0,1,0,9,0,1,1,A01
200600000944,6,1,20,1350,1,2,1,1,6,555,"34, RUE CLEMENCE ISAURE",,,,310,4,0.0,0.0,,1,2,,,0,1,1,0,72,1,0,1,99,1,1,4,1,0,23.0,0,0,0,1980.0,B01,0,1,0,0,2,1,0,B01
200600000997,6,1,9,900,1,2,3,2,3,63,"84, RUE CARLE VERNET",,,,330,4,0.0,0.0,,1,2,,,1,1,1,0,80,2,0,1,0,1,1,3,2,1,93.0,0,0,0,1970.0,A01,0,1,0,0,2,1,5,A01
200600001025,6,1,17,1705,1,2,1,2,2,63,"71, CRS ANATOLE FRANCE",,,,330,4,0.0,0.0,,1,1,,,2,1,1,0,115,2,0,5,0,1,1,4,1,1,93.0,0,0,0,1990.0,A01,0,1,0,1,0,1,1,A01
200600001046,6,1,23,740,1,2,7,1,3,63,RUE LEO SAIGNAT,,,,330,4,0.0,0.0,,2,2,,,0,1,1,0,0,1,0,1,0,1,1,4,2,1,43.0,0,0,0,1983.0,A01,0,1,0,0,2,8,15,A01
200600001150,6,1,3,800,5,2,3,2,2,238,"47, VERDUN (BD DE)",,,,350,4,0.0,0.0,,2,3,,,0,1,1,0,90,2,0,1,0,1,1,3,2,2,92.0,0,0,0,1985.0,A01,0,1,0,0,2,1,2,A01
200600001177,6,1,18,1240,1,2,2,1,3,238,"00, SAINT-CONWOION (BD)",,,,350,4,0.0,0.0,,2,2,,,0,1,0,0,60,2,0,1,0,1,1,4,1,0,93.0,0,0,0,1956.0,B01,0,1,0,0,2,1,0,B01
200600001201,6,1,11,825,1,2,1,1,3,44,MARINS (BD DES),,,,360,4,0.0,0.0,,3,4,,,0,1,1,30,100,1,0,1,0,1,1,3,2,5,92.0,0,0,0,1983.0,A01,0,1,0,0,2,6,19,A01
200600001215,6,1,4,1225,1,2,3,1,7,261,HUGO (RUE VICTOR),,,,370,4,0.0,0.0,,1,1,,,0,1,1,0,61,2,0,1,0,1,1,1,1,0,93.0,0,0,0,1985.0,A01,0,1,0,0,0,0,15,A01
200600001219,6,1,14,1425,1,2,1,1,7,261,MARMOUTIER (QUAI DE),,,,370,2,0.0,0.0,,2,2,,,0,1,1,0,82,1,0,1,99,1,1,3,1,5,0.0,0,0,0,1955.0,A01,0,1,0,0,0,0,1,A01
200600001228,6,1,6,1025,1,2,1,1,3,185,"00, MARTYRS (AV. DES)",,,,380,4,0.0,0.0,,2,2,,,1,1,3,0,70,1,0,1,0,1,1,3,1,1,23.0,0,0,0,1963.0,A01,0,1,0,0,2,8,1,A01
200600001232,6,1,9,755,1,2,1,1,6,185,"07, HUGO (PLACE VICTOR)",,,,380,4,0.0,0.0,,2,4,,,0,1,1,0,86,1,0,5,0,1,1,1,1,0,43.0,0,0,0,1983.0,A01,0,1,0,0,1,1,1,A01
200600001246,6,1,24,1345,1,2,6,1,3,151,"00, CHAMPAGNIER (RTE DE",,,,380,4,0.0,0.0,,2,3,,,3,1,2,0,100,1,0,1,0,1,1,3,1,5,43.0,0,0,0,1936.0,B01,0,1,0,0,2,4,1,B01
200600001347,6,1,9,1815,5,2,1,1,6,55,"1, BARRIRE ( ESPLANADE",,,,440,4,0.0,0.0,,2,2,,,2,1,1,14,40,1,0,5,0,1,1,1,1,5,93.0,0,0,0,1966.0,A01,0,1,0,0,1,1,0,A01
200600001486,6,1,21,1215,1,2,1,1,7,15,"22, BOISSIERE AVENUE",,,,490,4,0.0,0.0,,2,2,,,0,1,1,0,60,1,0,5,99,1,1,4,1,0,93.0,0,0,0,1951.0,A01,0,1,0,0,0,1,1,A01
200600001497,6,1,27,1818,2,1,1,1,2,267,CRESSONNIERE,,,,490,2,0.0,0.0,,2,3,71.0,0.0,0,1,1,0,105,1,0,1,99,1,1,4,1,5,93.0,0,0,0,1996.0,A01,0,1,0,0,2,1,0,A01
200600001693,6,1,27,1535,1,1,1,1,3,153,"46, LIBERTE (BOULEVARD D",,,,590,4,0.0,0.0,,3,2,,,0,1,1,17,93,1,0,4,0,1,1,4,1,5,93.0,0,0,0,1987.0,A01,0,1,0,0,2,1,1,A01
200600001737,6,1,9,1230,1,2,1,1,6,350,"83, SOLFERINO RUE N°1 A",,,,590,4,0.0,0.0,,2,3,,,2,1,1,0,60,1,0,1,0,1,1,3,2,2,22.0,0,0,0,1990.0,A01,0,1,0,0,2,8,11,A01
200600001826,6,1,31,850,1,2,2,1,3,512,JOUFFROY (RUE),,,,590,4,0.0,0.0,,0,0,,,0,1,1,0,0,1,0,1,0,1,1,3,1,4,23.0,0,0,0,1986.0,A01,0,1,0,0,2,1,0,A01
200600001843,6,1,7,1740,3,1,1,1,6,544,"0, RD 935 N",,,,590,3,0.0,0.0,A,2,2,,,0,1,1,0,132,1,0,1,99,1,1,4,1,0,22.0,0,0,0,1967.0,A01,0,1,0,0,2,6,1,A01
200600001885,6,1,16,755,5,2,3,1,3,193,CHAGALL (RUE M.),,,,620,4,0.0,0.0,,2,2,1.0,0.0,0,1,1,0,60,1,0,1,3,1,1,3,1,2,93.0,0,0,0,1990.0,A01,0,1,0,0,2,1,9,A01
200600002005,6,1,16,1330,1,2,6,1,3,445,YITZHAK RABIN,,,,640,2,0.0,0.0,,1,2,23.0,740.0,2,1,2,0,38,1,0,5,0,1,1,4,1,5,93.0,0,0,0,1930.0,B01,0,1,0,0,0,1,1,B01
200600002036,6,1,13,1630,1,2,6,1,2,440,HOPITAL (ROND POINT DE L,,,,650,2,0.0,0.0,,3,2,23.0,615.0,0,1,1,10,82,1,0,1,99,1,1,4,1,9,93.0,0,0,0,1946.0,A01,0,1,0,0,2,1,2,A01
200600002059,6,1,3,1215,1,2,2,1,3,482,ANVERS (BOULEVARD D ),,,,670,4,0.0,0.0,,2,2,,,1,1,1,20,126,1,0,1,99,1,1,4,1,1,93.0,0,0,0,1948.0,A01,0,1,0,0,2,7,1,A01
200600002061,6,1,4,1715,5,2,2,1,3,482,"00, COMTES (RUE DES)",,,,670,4,0.0,0.0,,2,2,,,0,1,1,0,70,1,0,5,0,1,1,4,1,1,21.0,0,0,0,1966.0,A01,0,1,0,0,2,1,5,A01
200600002076,6,1,17,820,2,2,2,8,6,482,LIEPVRE (RUE DE),,,,670,4,0.0,0.0,,1,0,,,2,1,1,0,33,2,0,1,0,1,1,4,1,1,93.0,0,0,0,1986.0,B01,0,1,0,0,2,1,1,B01
200600002085,6,1,23,1920,5,2,1,1,3,482,"17, SCHULMEISTER (RUE)",,,,670,4,0.0,0.0,,2,2,,,0,1,1,0,60,1,0,1,99,1,1,4,1,5,93.0,0,0,0,1995.0,A01,0,1,0,0,2,7,19,A01
200600002090,6,1,28,1130,1,2,3,1,3,482,"000, FAUBOURG DE SAVERNE",,,,670,4,0.0,0.0,,1,3,,,3,1,1,0,142,1,1,1,0,1,1,4,1,5,93.0,0,0,0,1955.0,B01,0,1,0,0,2,1,1,B01
200600002102,6,1,17,1730,5,2,3,2,2,224,", PREISS (RUE JACQUES)",,,,680,4,0.0,0.0,,2,0,,,0,1,1,0,0,2,5,1,99,1,1,4,2,3,41.0,0,0,0,1980.0,B01,0,1,0,0,2,4,1,B01
200600002197,6,1,26,1505,1,2,1,1,3,181,"170, SAINT AUBIN (RUE) N",,,,720,9,0.0,0.0,,2,2,,,0,2,1,0,60,1,0,1,99,1,1,3,1,2,93.0,0,0,0,1993.0,A01,0,1,0,0,2,4,11,A01
200600002245,6,1,3,1400,1,2,1,1,6,7,6 BD DES INVALIDES,,,,750,4,,0.0,,2,4,2009.0,6.0,0,1,1,0,120,1,0,1,0,1,1,1,2,9,0.0,0,0,0,1980.0,A01,0,1,0,0,1,1,1,A01
200600002339,6,1,5,1220,1,2,1,4,6,10,14 FG SAINT DENIS,,,,750,4,,0.0,,1,1,2009.0,14.0,0,1,1,0,30,2,0,1,0,1,1,4,2,4,21.0,0,0,0,1954.0,A01,0,1,0,0,1,1,5,A01
200600002358,6,1,9,1615,1,2,1,1,3,19,46 AV DE FLANDRE,,,,750,4,,0.0,,1,3,2009.0,46.0,0,1,1,0,90,1,0,1,0,1,1,4,1,5,21.0,0,0,0,1943.0,A01,0,1,0,0,2,2,19,A01
200600002379,6,1,11,845,1,2,1,1,3,8,23 AV DE MARIGNY,,,,750,4,,0.0,,2,2,2009.0,23.0,0,1,1,0,60,1,0,1,0,1,1,4,1,5,0.0,0,0,0,1972.0,A01,0,1,0,0,2,3,9,A01
200600002393,6,1,11,1315,1,2,1,1,6,19,104 BD SERURIER,,,,750,4,,0.0,,2,4,2401.0,104.0,3,1,1,0,120,1,0,1,0,1,1,1,2,4,0.0,0,0,0,1975.0,A01,0,1,0,0,1,1,7,A01
200600002421,6,1,12,2121,5,2,1,1,7,6,128 BD SAINT GERMAIN,,,,750,4,,0.0,,2,4,2009.0,128.0,0,1,1,0,120,1,0,1,0,1,1,4,1,5,0.0,0,0,0,1969.0,A01,0,1,0,0,0,0,1,A01
200600002470,6,1,13,1840,5,2,3,1,7,8,AV CHAMPS ELYSEES AV GEO,,,,750,4,,0.0,,2,8,1009.0,0.0,0,2,1,0,240,1,0,1,0,1,1,4,2,5,0.0,0,0,0,1963.0,A01,0,1,0,0,0,0,21,A01
200600002489,6,1,14,820,1,2,2,1,6,13,R DE LA VIGERIE R SIMONE,,,,750,4,,0.0,,2,2,1009.0,0.0,0,1,1,0,60,1,6,0,0,1,1,1,1,5,0.0,0,0,0,1988.0,A01,0,1,0,0,1,1,1,A01
200600002657,6,1,20,620,5,2,4,2,3,13,R J BAPT BERLIER BD MASS,,,,750,4,,0.0,,1,1,1803.0,0.0,0,1,1,0,30,2,0,1,0,1,1,4,1,5,0.0,0,0,0,1974.0,A01,0,1,0,0,2,2,19,A01
200600002903,6,1,14,1440,1,1,1,1,6,67,D.346,,,,770,3,0.0,0.0,,2,2,4.0,0.0,0,2,1,0,60,1,0,1,99,1,1,3,1,5,22.0,0,0,0,1972.0,A01,0,1,0,0,6,0,0,A01
200600002919,6,1,31,1550,1,2,1,1,6,241,"16, BARRE (RUE)",,,,770,3,0.0,0.0,,2,1,,,0,1,0,0,50,1,0,1,3,1,1,4,1,5,22.0,0,0,0,1962.0,A01,0,1,0,0,0,0,0,A01
